235324_0|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:42|2026-07-16T15:27:04|2026-07-16T15:30:46
235324_0.batch|batch||COMPLETED|0:0|00:03:42|2026-07-16T15:27:04|2026-07-16T15:30:46
235324_1|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:42|2026-07-16T15:27:04|2026-07-16T15:30:46
235324_1.batch|batch||COMPLETED|0:0|00:03:42|2026-07-16T15:27:04|2026-07-16T15:30:46
235324_2|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:46|2026-07-16T15:27:04|2026-07-16T15:30:50
235324_2.batch|batch||COMPLETED|0:0|00:03:46|2026-07-16T15:27:04|2026-07-16T15:30:50
235324_3|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:47|2026-07-16T15:27:04|2026-07-16T15:30:51
235324_3.batch|batch||COMPLETED|0:0|00:03:47|2026-07-16T15:27:04|2026-07-16T15:30:51
235324_4|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:48|2026-07-16T15:27:04|2026-07-16T15:30:52
235324_4.batch|batch||COMPLETED|0:0|00:03:48|2026-07-16T15:27:04|2026-07-16T15:30:52
235324_5|amc_phase5_bac_iso|main|COMPLETED|0:0|00:03:58|2026-07-16T15:27:04|2026-07-16T15:31:02
235324_5.batch|batch||COMPLETED|0:0|00:03:58|2026-07-16T15:27:04|2026-07-16T15:31:02
235324_6|amc_phase5_bac_iso|main|COMPLETED|0:0|00:02:23|2026-07-16T15:27:04|2026-07-16T15:29:27
235324_6.batch|batch||COMPLETED|0:0|00:02:23|2026-07-16T15:27:04|2026-07-16T15:29:27
235324_7|amc_phase5_bac_iso|main|COMPLETED|0:0|00:01:32|2026-07-16T15:27:04|2026-07-16T15:28:36
235324_7.batch|batch||COMPLETED|0:0|00:01:32|2026-07-16T15:27:04|2026-07-16T15:28:36
235324_8|amc_phase5_bac_iso|main|COMPLETED|0:0|00:02:35|2026-07-16T15:27:04|2026-07-16T15:29:39
235324_8.batch|batch||COMPLETED|0:0|00:02:35|2026-07-16T15:27:04|2026-07-16T15:29:39
235324_9|amc_phase5_bac_iso|main|COMPLETED|0:0|00:02:31|2026-07-16T15:27:04|2026-07-16T15:29:35
235324_9.batch|batch||COMPLETED|0:0|00:02:31|2026-07-16T15:27:04|2026-07-16T15:29:35
235324_10|amc_phase5_bac_iso|main|COMPLETED|0:0|00:02:38|2026-07-16T15:27:04|2026-07-16T15:29:42
235324_10.batch|batch||COMPLETED|0:0|00:02:38|2026-07-16T15:27:04|2026-07-16T15:29:42
235324_11|amc_phase5_bac_iso|main|COMPLETED|0:0|00:02:39|2026-07-16T15:27:04|2026-07-16T15:29:43
235324_11.batch|batch||COMPLETED|0:0|00:02:39|2026-07-16T15:27:04|2026-07-16T15:29:43
235458_0|amc_phase5b_iso|main|COMPLETED|0:0|00:04:09|2026-07-16T15:36:05|2026-07-16T15:40:14
235458_0.batch|batch||COMPLETED|0:0|00:04:09|2026-07-16T15:36:05|2026-07-16T15:40:14
235458_1|amc_phase5b_iso|main|COMPLETED|0:0|00:04:06|2026-07-16T15:36:05|2026-07-16T15:40:11
235458_1.batch|batch||COMPLETED|0:0|00:04:06|2026-07-16T15:36:05|2026-07-16T15:40:11
235458_2|amc_phase5b_iso|main|COMPLETED|0:0|00:02:47|2026-07-16T15:36:05|2026-07-16T15:38:52
235458_2.batch|batch||COMPLETED|0:0|00:02:47|2026-07-16T15:36:05|2026-07-16T15:38:52
235458_3|amc_phase5b_iso|main|COMPLETED|0:0|00:02:48|2026-07-16T15:36:05|2026-07-16T15:38:53
235458_3.batch|batch||COMPLETED|0:0|00:02:48|2026-07-16T15:36:05|2026-07-16T15:38:53
235458_4|amc_phase5b_iso|main|COMPLETED|0:0|00:02:53|2026-07-16T15:36:05|2026-07-16T15:38:58
235458_4.batch|batch||COMPLETED|0:0|00:02:53|2026-07-16T15:36:05|2026-07-16T15:38:58
235458_5|amc_phase5b_iso|main|COMPLETED|0:0|00:03:02|2026-07-16T15:36:05|2026-07-16T15:39:07
235458_5.batch|batch||COMPLETED|0:0|00:03:02|2026-07-16T15:36:05|2026-07-16T15:39:07
235458_6|amc_phase5b_iso|main|COMPLETED|0:0|00:00:03|2026-07-16T15:36:05|2026-07-16T15:36:08
235458_6.batch|batch||COMPLETED|0:0|00:00:03|2026-07-16T15:36:05|2026-07-16T15:36:08
235458_7|amc_phase5b_iso|main|COMPLETED|0:0|00:00:03|2026-07-16T15:36:05|2026-07-16T15:36:08
235458_7.batch|batch||COMPLETED|0:0|00:00:03|2026-07-16T15:36:05|2026-07-16T15:36:08
235458_8|amc_phase5b_iso|main|COMPLETED|0:0|00:00:09|2026-07-16T15:36:25|2026-07-16T15:36:34
235458_8.batch|batch||COMPLETED|0:0|00:00:09|2026-07-16T15:36:25|2026-07-16T15:36:34
235458_9|amc_phase5b_iso|main|COMPLETED|0:0|00:00:09|2026-07-16T15:36:25|2026-07-16T15:36:34
235458_9.batch|batch||COMPLETED|0:0|00:00:09|2026-07-16T15:36:25|2026-07-16T15:36:34
235458_10|amc_phase5b_iso|main|COMPLETED|0:0|00:00:12|2026-07-16T15:36:25|2026-07-16T15:36:37
235458_10.batch|batch||COMPLETED|0:0|00:00:12|2026-07-16T15:36:25|2026-07-16T15:36:37
235458_11|amc_phase5b_iso|main|COMPLETED|0:0|00:00:12|2026-07-16T15:36:25|2026-07-16T15:36:37
235458_11.batch|batch||COMPLETED|0:0|00:00:12|2026-07-16T15:36:25|2026-07-16T15:36:37
235479_0|amc_phase5c_iso|main|COMPLETED|0:0|00:01:56|2026-07-16T15:42:25|2026-07-16T15:44:21
235479_0.batch|batch||COMPLETED|0:0|00:01:56|2026-07-16T15:42:25|2026-07-16T15:44:21
235479_1|amc_phase5c_iso|main|COMPLETED|0:0|00:01:57|2026-07-16T15:42:25|2026-07-16T15:44:22
235479_1.batch|batch||COMPLETED|0:0|00:01:57|2026-07-16T15:42:25|2026-07-16T15:44:22
235479_2|amc_phase5c_iso|main|COMPLETED|0:0|00:02:01|2026-07-16T15:42:25|2026-07-16T15:44:26
235479_2.batch|batch||COMPLETED|0:0|00:02:01|2026-07-16T15:42:25|2026-07-16T15:44:26
235479_3|amc_phase5c_iso|main|COMPLETED|0:0|00:02:00|2026-07-16T15:42:25|2026-07-16T15:44:25
235479_3.batch|batch||COMPLETED|0:0|00:02:00|2026-07-16T15:42:25|2026-07-16T15:44:25
235479_4|amc_phase5c_iso|main|COMPLETED|0:0|00:01:59|2026-07-16T15:42:25|2026-07-16T15:44:24
