record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.256606846911483,0.188136424916488,3.74770359864644,0.002,499,,,,,,,
summary,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2295684206194629,0.1801817809155823,4.648391184254321,0.002,499,,,,,,,
summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,20320645,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2725761732768077,0.2055766102891452,4.068327629644404,0.002,499,,,,,,,
summary,6,AMF↔EUK,presence/absence,0.05,primary,20320644,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2407309365818994,0.1920598427730468,4.946076156153981,0.002,499,,,,,,,
summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812433,0.2039984512426735,4.038736272305537,0.002,499,,,,,,,
summary,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.24304347418212,0.1945206199630251,5.008845380049321,0.002,499,,,,,,,
summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,20280617,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2899440061392974,0.2245441119679169,4.433401763304063,0.002,499,,,,,,,
summary,2,AMF↔ITS,presence/absence,0.05,primary,20280616,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2537067002700425,0.2058673861847888,5.3033097384698245,0.002,499,,,,,,,
summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.338583638622868,0.27766371060129,5.557846990609396,0.002,499,,,,,,,
summary,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.313258904534314,0.2692370394403598,7.115984383345349,0.002,499,,,,,,,
summary,0,BAC↔ITS,presence/absence,0.05,geography_sensitivity,20260603,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3266587616197459,0.2646404896636699,5.267137430902614,0.002,499,,,,,,,
summary,0,BAC↔ITS,presence/absence,0.05,primary,20260602,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2894231314603896,0.24387333219503,6.353993565905664,0.002,499,,,,,,,
summary,5,EUK↔ITS,CLR,0.05,geography_sensitivity,20310638,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2630011083713358,0.1951196315108009,3.874416417186708,0.002,499,,,,,,,
summary,5,EUK↔ITS,CLR,0.05,primary,20310637,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2338311278785588,0.1847177386400049,4.76104645808076,0.002,499,,,,,,,
summary,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.002,499,,,,,,,
summary,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.002,499,,,,,,,
