sample_id,euk_total_reads,euk_fungal_reads,euk_nonfungal_reads,euk_fungal_fraction,its_total_reads
D129.N1,26585.0,12726.0,13859.0,0.4786909911604288,859.0
D130.N1,10069.0,6196.0,3873.0,0.6153540570066541,2223.0
D131.N1,16208.0,10672.0,5536.0,0.6584402764067128,478.0
D132.N1,76164.0,61929.0,14235.0,0.8131006774854261,4144.0
D136.N2,15250.0,10357.0,4893.0,0.6791475409836065,3648.0
D137.N1,22086.0,9208.0,12878.0,0.41691569319931177,4225.0
D138.N1,7909.0,5353.0,2556.0,0.6768238715387533,3442.0
D139.N1,13669.0,11840.0,1829.0,0.866193576706416,4678.0
D140.N1,4531.0,3309.0,1222.0,0.7303023615096005,3836.0
D141.N1,23723.0,19996.0,3727.0,0.8428950807233486,1593.0
D143.N1,21431.0,10587.0,10844.0,0.49400401287854045,6508.0
D145.N3,25095.0,18010.0,7085.0,0.7176728431958558,4471.0
D149.N1,8927.0,7515.0,1412.0,0.8418281617564691,3364.0
D150.N1,14069.0,11967.0,2102.0,0.8505935034472955,3743.0
D153.N1,19454.0,13902.0,5552.0,0.71460882080806,5122.0
D154.N1,40721.0,36631.0,4090.0,0.8995604233687777,6639.0
D156.N1,36253.0,21748.0,14505.0,0.5998951810884616,295.0
D157.N1,9886.0,5650.0,4236.0,0.5715152741250253,2664.0
D158.N2,49749.0,38593.0,11156.0,0.775754286518322,9728.0
D160.N2,13899.0,7988.0,5911.0,0.5747176055831354,3432.0
D161.N1,46471.0,40896.0,5575.0,0.8800327085709367,9305.0
D163.N1,4493.0,2609.0,1884.0,0.5806810594257734,2945.0
D168.N1,15569.0,6206.0,9363.0,0.3986126276575246,8261.0
D169.N1,18594.0,13631.0,4963.0,0.7330859417016242,4638.0
D171.N1,48723.0,37604.0,11119.0,0.7717915563491575,11003.0
D182.N1,2445.0,1374.0,1071.0,0.561963190184049,6497.0
D185.N1,37568.0,33129.0,4439.0,0.8818409284497445,11681.0
D186.N1,42761.0,31374.0,11387.0,0.7337059470077875,10750.0
D190.N1,35874.0,4532.0,31342.0,0.12633104755533256,16772.0
D191.N1,2929.0,674.0,2255.0,0.2301126664390577,14573.0
D192.N1,31563.0,22270.0,9293.0,0.7055729810220828,11006.0
D193.N1,22928.0,7365.0,15563.0,0.32122295882763435,10099.0
D194.N1,35724.0,15082.0,20642.0,0.42218116672265144,11658.0
D196.N1,23462.0,15669.0,7793.0,0.6678458784417356,13100.0
D199.N2,42569.0,30482.0,12087.0,0.7160609833446875,13167.0
