pair,branch,thresholds_evaluated,mantel_spearman_mean,mantel_spearman_min,mantel_spearman_max,mantel_perm_pvalue_conservative,mantel_ci_lower_conservative,mantel_ci_upper_conservative,procrustes_fit_mean,procrustes_fit_best,procrustes_fit_worst,procrustes_ci_lower_conservative,procrustes_ci_upper_conservative,procrustes_bootstrap_sd_mean,procrustes_similarity_mean,rank_mantel,rank_procrustes_similarity,rank_overall
AMF↔ITS,CLR,2,0.5253434969262406,0.4947322638623616,0.5559547299901196,0.001,0.3281188437076315,0.6751675852619826,0.6052990750379716,0.5846708424078187,0.6259273076681244,0.3745783616934952,0.5851644408734182,0.052117537664550406,0.39470092496202835,1,4,2.5
AMF↔ITS,presence/absence,2,0.45924886144406196,0.4585957697240603,0.45990195316406357,0.001,0.34816728673771186,0.5835246319404562,0.5695582196537773,0.5548121075011843,0.5843043318063703,0.36482999118257947,0.5647293549242964,0.04406202584178544,0.4304417803462227,3,3,3.0
AMF↔EUK,CLR,2,0.47250460809573314,0.4665932176139187,0.47841599857754763,0.001,0.31231267221898873,0.6373393082160977,0.606549763631268,0.5908073997702095,0.6222921274923265,0.34875900548210376,0.577451664061087,0.0535775069593033,0.393450236368732,2,5,3.5
EUK↔ITS,presence/absence,2,0.41414279783874886,0.39019378149664147,0.43809181418085624,0.001,0.3170769766372333,0.5889006191671523,0.3384363557829689,0.33706566841960856,0.3398070431463292,0.1307670169797976,0.3905105556538376,0.04816713481672755,0.6615636442170312,5,2,3.5
EUK↔ITS,CLR,2,0.3871604158089176,0.3651818868228673,0.4091389447949679,0.001,0.25736160410043396,0.7016029211989852,0.31673583687729623,0.3102731164471279,0.3231985573074646,0.15316716321500667,0.37891359666767804,0.051968211019298084,0.6832641631227038,6,1,3.5
AMF↔EUK,presence/absence,2,0.43757154551911254,0.4281191169018138,0.44702397413641126,0.001,0.32482721139703535,0.5835700491759185,0.6368493717352088,0.625843761144852,0.6478549823255656,0.388085757350819,0.6126884544532738,0.055366543238793184,0.36315062826479116,4,6,5.0
