pair,branch,rank_mantel,rank_procrustes_similarity,rank_overall,mantel_spearman_mean,procrustes_similarity_mean
BAC↔ITS,presence/absence,1,5,3.0,0.5842070605265859,0.5639467051402062
EUK↔ITS,presence/absence,6,2,4.0,0.4141427978387488,0.6615636442170312
EUK↔ITS,CLR,7,1,4.0,0.3871604158089176,0.6832641631227038
AMF↔ITS,CLR,2,8,5.0,0.5253434969262406,0.39470092496202835
AMF↔ITS,presence/absence,4,7,5.5,0.4592488614440619,0.4304417803462226
AMF↔EUK,CLR,3,9,6.0,0.47250460809573314,0.393450236368732
BAC↔ITS,CLR,9,4,6.5,0.35814039740505454,0.5652830095207189
BAC↔EUK,CLR,10,3,6.5,0.29469781338434226,0.5857732611223101
AMF↔EUK,presence/absence,5,10,7.5,0.4375715455191125,0.3631506282647913
BAC↔EUK,presence/absence,12,6,9.0,0.1719522469675008,0.5488931186289077
BAC↔AMF,presence/absence,8,12,10.0,0.3789225706474426,0.33885440154011426
BAC↔AMF,CLR,11,11,11.0,0.2866213085820115,0.3513855298285167
