combo_index,pair,domain_1,domain_2,branch,threshold
0,BAC↔AMF,BAC,AMF,presence/absence,0.05
1,BAC↔AMF,BAC,AMF,CLR,0.05
2,BAC↔ITS,BAC,ITS,presence/absence,0.05
3,BAC↔ITS,BAC,ITS,CLR,0.05
4,BAC↔EUK,BAC,EUK,presence/absence,0.05
5,BAC↔EUK,BAC,EUK,CLR,0.05
6,AMF↔ITS,AMF,ITS,presence/absence,0.05
7,AMF↔ITS,AMF,ITS,CLR,0.05
8,AMF↔EUK,AMF,EUK,presence/absence,0.05
9,AMF↔EUK,AMF,EUK,CLR,0.05
10,EUK↔ITS,EUK,ITS,presence/absence,0.05
11,EUK↔ITS,EUK,ITS,CLR,0.05
