pair,branch,thresholds_evaluated,mantel_spearman_mean,mantel_spearman_min,mantel_spearman_max,mantel_perm_pvalue_conservative,mantel_ci_lower_conservative,mantel_ci_upper_conservative,procrustes_fit_mean,procrustes_fit_best,procrustes_fit_worst,procrustes_ci_lower_conservative,procrustes_ci_upper_conservative,procrustes_bootstrap_sd_mean,procrustes_similarity_mean,rank_mantel,rank_procrustes_similarity,rank_overall
BAC↔ITS,presence/absence,2,0.5842070605265859,0.5711625713225822,0.5972515497305896,0.001,0.4744293629587796,0.7079349117109869,0.4360532948597938,0.431192319100854,0.4409142706187337,0.2140467277287817,0.4339240163174998,0.04433605599582265,0.5639467051402062,1,5,3.0
EUK↔ITS,presence/absence,2,0.4141427978387488,0.3901937814966414,0.4380918141808562,0.001,0.3197090767154286,0.6076100970674696,0.3384363557829688,0.3370656684196086,0.339807043146329,0.1502102728081433,0.3861356780672328,0.04872370753708465,0.6615636442170312,6,2,4.0
EUK↔ITS,CLR,2,0.3871604158089176,0.3651818868228673,0.4091389447949679,0.001,0.2224055944071541,0.689986108278783,0.31673583687729623,0.3102731164471279,0.3231985573074645,0.1543732358812052,0.3756428046081251,0.050942185064587045,0.6832641631227038,7,1,4.0
AMF↔ITS,CLR,2,0.5253434969262406,0.4947322638623616,0.5559547299901196,0.001,0.2951228258546865,0.6604517271176578,0.6052990750379716,0.5846708424078187,0.6259273076681244,0.3599484885820084,0.5797695769672224,0.04784797370782685,0.39470092496202835,2,8,5.0
AMF↔ITS,presence/absence,2,0.4592488614440619,0.4585957697240603,0.4599019531640635,0.001,0.3787970555138442,0.5681179358874179,0.5695582196537774,0.5548121075011844,0.5843043318063705,0.3613301018989155,0.5778009241402133,0.041188487316674946,0.4304417803462226,4,7,5.5
AMF↔EUK,CLR,2,0.47250460809573314,0.4665932176139187,0.4784159985775476,0.001,0.3201949639299717,0.6094111290434729,0.606549763631268,0.5908073997702095,0.6222921274923265,0.382219352795358,0.6083052763667124,0.05169449432552545,0.393450236368732,3,9,6.0
BAC↔ITS,CLR,2,0.35814039740505454,0.3161326568500998,0.4001481379600093,0.001,0.2310163743233296,0.5927854150449182,0.43471699047928114,0.4213827686132574,0.4480512123453048,0.1901185788359276,0.4313024196606521,0.0518570951323097,0.5652830095207189,9,4,6.5
BAC↔EUK,CLR,2,0.29469781338434226,0.2619631693164172,0.3274324574522673,0.001,0.1831895429186772,0.5699327163975128,0.4142267388776899,0.3939297031037312,0.4345237746516486,0.215933363712625,0.4326320213036185,0.05354407704666455,0.5857732611223101,10,3,6.5
AMF↔EUK,presence/absence,2,0.4375715455191125,0.4281191169018138,0.4470239741364112,0.001,0.2506178704121878,0.6076547923933309,0.6368493717352087,0.625843761144852,0.6478549823255655,0.3734094683559293,0.5996278005633754,0.05410222724517275,0.3631506282647913,5,10,7.5
BAC↔EUK,presence/absence,2,0.1719522469675008,0.1425007226635828,0.2014037712714188,0.019,0.0874979933523883,0.396005225886665,0.4511068813710924,0.4498179319918609,0.4523958307503239,0.2057767001598229,0.5000951101108718,0.0525180199008623,0.5488931186289077,12,6,9.0
BAC↔AMF,presence/absence,2,0.3789225706474426,0.3707556743952637,0.3870894668996215,0.001,0.2685213054817164,0.5131110685696207,0.6611455984598857,0.6548122291609219,0.6674789677588495,0.4452267493984713,0.6439765305041065,0.0465333430055102,0.33885440154011426,8,12,10.0
BAC↔AMF,CLR,2,0.2866213085820115,0.264602722688988,0.308639894475035,0.001,0.1222824287255822,0.4797619458863353,0.6486144701714833,0.6389209101361543,0.6583080302068124,0.4126069565364683,0.6264137329289016,0.0507953120348498,0.3513855298285167,11,11,11.0
