pair,branch,threshold,procrustes_fit,procrustes_bootstrap_mean,procrustes_bootstrap_median,procrustes_bootstrap_sd,procrustes_ci_lower,procrustes_ci_upper,n_bootstraps,seed
AMF↔EUK,CLR,0.05,0.5908073997702095,0.4721569181271504,0.4730754384805888,0.051146489620201,0.3674660828202626,0.5491164940928268,120,20350664
AMF↔EUK,presence/absence,0.05,0.625843761144852,0.4830039449811468,0.4878098693595799,0.0550806718683745,0.3571022925429463,0.5891139703750664,120,20340657
AMF↔ITS,CLR,0.05,0.5846708424078187,0.4638792268301674,0.4674283163288227,0.0551308744326735,0.3520719930604254,0.5560119912928829,120,20330650
AMF↔ITS,presence/absence,0.05,0.5548121075011844,0.4574261844301908,0.4577110619634334,0.0494300736468665,0.3619924596467689,0.552016245718422,120,20320643
BAC↔AMF,CLR,0.05,0.6583080302068124,0.5168919638116012,0.5193495550280866,0.0533151078739552,0.40015410446511,0.6093040986983844,120,20270608
BAC↔AMF,presence/absence,0.05,0.6548122291609219,0.5317012650263501,0.536620178348626,0.0500322139209297,0.4452267493984713,0.6123330217802166,120,20260601
BAC↔EUK,CLR,0.05,0.4345237746516486,0.3176643368137841,0.3193303034760653,0.0546374498724041,0.2011682755986473,0.4107043164539141,120,20310636
BAC↔EUK,presence/absence,0.05,0.4498179319918609,0.3170401970665095,0.3129189367288671,0.0540271900519535,0.2246610987086604,0.4225697119922698,120,20300629
BAC↔ITS,CLR,0.05,0.4480512123453048,0.3161033228728446,0.3136487234969181,0.0575806558369243,0.2123124957836784,0.4241912183535137,120,20290622
BAC↔ITS,presence/absence,0.05,0.431192319100854,0.3266758338842754,0.3249526927495293,0.0501522836346508,0.240678798708091,0.414309572377488,120,20280615
EUK↔ITS,CLR,0.05,0.3102731164471279,0.2498940114461815,0.2457550197081292,0.0596814939451564,0.1459131225665183,0.3610565394315542,120,20370678
EUK↔ITS,presence/absence,0.05,0.3370656684196086,0.2395674358204929,0.2284767813664187,0.0565780248261483,0.1535458449050916,0.3935124093455905,120,20360671
