observed,null_mean,null_sd,null_q025,null_q975,perm_p,threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,metric,null_type
0.19291401874814673,0.03591859036886439,0.02071368508636044,0.0153264259322418,0.08359222580077183,0.01,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
0.19291401874814673,0.19291401874814681,1.1197409068569538e-16,0.19291401874814657,0.19291401874814706,0.87,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,random_alignment
0.3924752970564501,-0.0008756446628860932,0.055689005193799636,-0.10705257431662973,0.11026366640424878,0.01,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,shuffled_labels
0.3924752970564501,0.3924752970564501,0.0,0.3924752970564501,0.3924752970564501,1.0,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,random_alignment
0.2990751356308791,0.05015367565987412,0.03157474922726208,0.01878947332214177,0.1386121677769255,0.01,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,shuffled_labels
0.2990751356308791,0.2990751356308792,8.848443249705144e-17,0.299075135630879,0.29907513563087923,0.6,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,random_alignment
0.2280275655263902,0.0027754263336264066,0.084524359196638,-0.11412089437858988,0.21163012166670916,0.03,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,shuffled_labels
0.2280275655263902,0.2280275655263901,4.4684207404002475e-17,0.22802756552639009,0.2280275655263902,0.17,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,random_alignment
0.01544125348162928,0.0257085837036747,0.02793031241371871,0.003838396034123526,0.08971412722849119,0.48,0.01,5,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
0.01544125348162928,0.01544125348162928,0.0,0.01544125348162928,0.01544125348162928,1.0,0.01,5,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,random_alignment
