threshold,n_pcs,n_samples,mean_procrustes_corr,mean_mantel_spearman_r,mean_rv_coeff,mean_embedding_distance_pearson_r,mean_variance_explained_across_kingdoms
0.01,5,84,0.12105724471792571,0.22097307133016456,0.187641405705123,0.14830074828327083,0.21097693130789624
0.01,10,84,0.1728068702458876,0.21299747203590136,0.25926247755379167,0.15360363955233394,0.33026348847758735
0.01,20,84,0.24801075437052966,0.17640773961336842,0.3375636575140122,0.16363678051713262,0.5008392884858693
0.05,5,84,0.4227401192231039,0.3451068458978214,0.5384891474815525,0.36039346103942943,0.2551616625747234
0.05,10,84,0.4298124459308618,0.310098493320834,0.5563136714180065,0.33693663334698104,0.37303663198267056
0.05,20,84,0.43937340969149985,0.29346843858233634,0.5812041131246486,0.32558727763019985,0.5349072467629944
0.1,5,84,0.44128299279425615,0.37557943551628686,0.5506498356177224,0.4017583157473969,0.30163543452805325
0.1,10,84,0.458794230337666,0.3633427544211096,0.575890210617667,0.4062331860677848,0.42556124626113434
0.1,20,84,0.4596645085701498,0.3430385962073343,0.5973350220629677,0.39943601206292695,0.585659178456755
0.2,5,84,0.4066901161717791,0.40117168235986433,0.5091478611438435,0.42341087102474234,0.3550585457755164
0.2,10,84,0.43943905589356363,0.40171713859486563,0.5477077241868692,0.4525581886615024,0.4956378601989967
0.2,20,84,0.43373091695218613,0.3814893182879516,0.5647806952852568,0.44981197303528053,0.6634248394005877
