threshold,kingdom,features_before,features_after,retained_taxa_fraction,retained_variance_fraction,n_samples
0.01,AMF,386,280,0.7253886010362695,1.3697882890701294,84
0.01,BAC,291699,115574,0.39620979160024544,2.520986795425415,84
0.01,EUK,58205,27880,0.47899664977235634,2.0868444442749023,84
0.01,ITS,26285,8506,0.32360661974510174,3.0870201587677,84
0.05,AMF,386,148,0.38341968911917096,1.8729848861694336,84
0.05,BAC,291699,16561,0.05677427759436954,17.02341651916504,84
0.05,EUK,58205,4126,0.07088738080920882,12.166561126708984,84
0.05,ITS,26285,1286,0.048925242533764506,11.49653148651123,84
0.1,AMF,386,106,0.27461139896373055,2.0685722827911377,84
0.1,BAC,291699,7786,0.026691898155290213,34.892784118652344,84
0.1,EUK,58205,1651,0.028365260716433294,25.392391204833984,84
0.1,ITS,26285,518,0.01970705725699068,13.107035636901855,84
0.2,AMF,386,53,0.13730569948186527,2.9217705726623535,84
0.2,BAC,291699,3020,0.010353137994987984,82.27022552490234,84
0.2,EUK,58205,434,0.007456404088995791,78.531494140625,84
0.2,ITS,26285,160,0.006087121932661214,30.119665145874023,84
