sample_id,site_id if available,country if available,latitude,longitude,biome/region if available,included_in_final_cohort yes/no,available_domains
D060.N1,D060,,38.50394,27.456483,D060,yes,BAC;ITS;EUK;AMF
D061.N1,D061,,47.53974167,20.9526,D061,yes,BAC;ITS;EUK;AMF
D062.N1,D062,,47.19040556,21.49808889,D062,yes,BAC;ITS;EUK;AMF
D063.N1,D063,,47.5274,21.95385,D063,yes,BAC;ITS;EUK;AMF
D064.N1,D064,,46.52621389,19.49809444,D064,yes,BAC;ITS;EUK;AMF
D068.N1,,,,,,no,BAC;ITS;EUK;AMF
D068.N2,D068,,43.44506944,41.69248611,D068,yes,BAC;ITS;EUK;AMF
D072.N1,,,,,,no,BAC;EUK
D072.N2,D072,,58.31188472,22.19773333,D072,no,BAC;ITS;EUK
D076.N1,D076,,36.920335,-2.673464,D076,yes,BAC;ITS;EUK;AMF
D077.N1,D077,,39.34178611,-4.405742222,D077,yes,BAC;ITS;EUK;AMF
D081.N1,D081,,36.69111111,58.60472222,D081,yes,BAC;ITS;EUK;AMF
D084.N1,D084,,48.67079573,14.6261644,D084,yes,BAC;ITS;EUK;AMF
D084.N2,,,,,,no,BAC;ITS;EUK
D084.N3,,,,,,no,BAC;ITS;EUK
D085.N1,D085,,40.287912,-8.409804,D085,yes,BAC;ITS;EUK;AMF
D086.N1,D086,,48.85428889,15.87351111,D086,yes,BAC;ITS;EUK;AMF
D088.N1,D088,,47.69751,-83.61813,D088,yes,BAC;ITS;EUK;AMF
D089.N1,D089,,46.48145833,-83.88464167,D089,no,BAC;ITS;AMF
D091.N1,D091,,-18.61258333,146.4913333,D091,yes,BAC;ITS;EUK;AMF
D092.N1,D092,,34.93242,-85.37825,D092,yes,BAC;ITS;EUK;AMF
D093.N1,D093,,50.75061931,15.52027778,D093,yes,BAC;ITS;EUK;AMF
D093.N2,,,,,,no,AMF
D093.N3,,,,,,no,BAC;ITS;EUK;AMF
D094.N1,,,,,,no,BAC;ITS;EUK
D094.N2,,,,,,no,BAC;ITS;EUK;AMF
D094.N3,D094,,50.59217722,14.68798333,D094,no,BAC;ITS;EUK
D095.N1,D095,,46.56570879,9.76955,D095,yes,BAC;ITS;EUK;AMF
D096.N1,D096,,49.83611111,11.33583333,D096,yes,BAC;ITS;EUK;AMF
D097.N1,D097,,-51.44558333,-69.32736111,D097,yes,BAC;ITS;EUK;AMF
D098.N1,D098,,41.31402778,-4.190722222,D098,yes,BAC;ITS;EUK;AMF
D100.N1,D100,,36.81544444,-2.229333333,D100,yes,BAC;ITS;EUK;AMF
D100.N2,,,,,,no,BAC;ITS;EUK;AMF
D100.N3,,,,,,no,BAC;ITS;EUK;AMF
D101.N1,,,,,,no,BAC;ITS;EUK;AMF
D103.N1,D103,,44.30736111,10.25611111,D103,no,BAC;ITS;EUK
D104.N1,D104,,46.35570833,10.49126389,D104,no,BAC;ITS;AMF
D106.N1,D106,,53.305,13.77719444,D106,yes,BAC;ITS;EUK;AMF
D107.N1,D107,,36.21858333,28.08719444,D107,yes,BAC;ITS;EUK;AMF
D108.N1,D108,,-38.38661667,144.1508,D108,yes,BAC;ITS;EUK;AMF
D109.N1,D109,,44.75666667,-0.377083333,D109,yes,BAC;ITS;EUK;AMF
D109.N2,,,,,,no,BAC;ITS;EUK;AMF
D110.N1,D110,,54.12698297,12.3426702,D110,no,BAC;ITS;EUK
D111.N1,,,,,,no,BAC;ITS;EUK;AMF
D112.N1,D112,,45.28810605,6.9511865,D112,yes,BAC;ITS;EUK;AMF
D112.N2,,,,,,no,BAC;ITS;EUK;AMF
D113.N1,,,,,,no,BAC;ITS;EUK
D113.N2,D113,,28.70440278,-17.82975,D113,yes,BAC;ITS;EUK;AMF
D117.N1,,,,,,no,BAC;ITS;EUK;AMF
D117.N2,D117,,50.843285,4.668497,D117,yes,BAC;ITS;EUK;AMF
D118.N1,D118,,45.45098893,32.58403402,D118,yes,BAC;ITS;EUK;AMF
D118.N2,,,,,,no,BAC;ITS;EUK;AMF
D119.N1,D119,,48.179525,25.46961,D119,yes,BAC;ITS;EUK;AMF
D119.N2,,,,,,no,BAC;ITS;EUK;AMF
D121.N1,D121,,42.57175,23.21273,D121,yes,BAC;ITS;EUK;AMF
D122.N1,D122,,48.242425,16.19773333,D122,no,BAC;EUK;AMF
D123.N1,,,,,,no,BAC;ITS;EUK;AMF
D123.N2,D123,,45.89386667,8.790283333,D123,yes,BAC;ITS;EUK;AMF
D124.N1,D124,,40.40239,69.67974,D124,yes,BAC;ITS;EUK;AMF
D125.N1,D125,,38.70359,70.46711,D125,yes,BAC;ITS;EUK;AMF
D126.N1,D126,,38.85846,71.34568,D126,yes,BAC;ITS;EUK;AMF
D127.N1,D127,,37.65966,72.51673,D127,yes,BAC;ITS;EUK;AMF
D128.N1,D128,,37.53827,72.93061,D128,yes,BAC;ITS;EUK;AMF
D129.N1,D129,,50.486842,17.312266,D129,yes,BAC;ITS;EUK;AMF
D130.N1,D130,,44.68458056,-109.0226694,D130,yes,BAC;ITS;EUK;AMF
D131.N1,D131,,51.50310772,11.91520833,D131,yes,BAC;ITS;EUK;AMF
D132.N1,D132,,50.98521456,5.585535,D132,yes,BAC;ITS;EUK;AMF
D136.N2,D136,,67.61903,33.66664,D136,yes,BAC;ITS;EUK;AMF
D136.N3,,,,,,no,BAC;ITS
D137.N1,D137,,-35.69870833,143.6341389,D137,yes,BAC;ITS;EUK;AMF
