canonical,lat,lon,pH_KCl,precipitation,alpha,dark,pool
D107.N1,36.21858333,28.08719444,6.4,911.1470987,122,193.3203289,315.3203289
D108.N1,-38.38661667,144.1508,4.45,733.858353,49,47.72712753,96.72712753
D109.N1,44.75666667,-0.377083333,7.05,849.8789973,25,96.08710517,121.0871052
D112.N1,45.28810605,6.9511865,3.97,986.7305258,38,59.33361208,97.33361208
D113.N2,28.70440278,-17.82975,6.47,351.012404,16,43.61890069,59.61890069
D117.N2,50.843285,4.668497,5.04,833.5982823,18,66.07987477,84.07987477
D118.N1,45.45098893,32.58403402,7.26,402.095908,49,56.49712454,105.4971245
D119.N1,48.179525,25.46961,6.15,757.3997944,81,112.2723986,193.2723986
D121.N1,42.57175,23.21273,4.49,681.9472888,12,110.7375419,122.7375419
D123.N2,45.89386667,8.790283333,3.46,1196.303593,8,52.29657868,60.29657868
D124.N1,40.40239,69.67974,7.63,350.3336694,25,49.78876688,74.78876688
D125.N1,38.70359,70.46711,7.34,663.3218536,46,80.72568003,126.72568
D126.N1,38.85846,71.34568,7.3,584.6303044,49,73.10412086,122.1041209
D127.N1,37.65966,72.51673,6.63,183.1119909,18,39.40538741,57.40538741
D128.N1,37.53827,72.93061,7.31,129.7247712,11,22.05283792,33.05283792
D129.N1,50.486842,17.312266,5.65,685.07369,30,59.79041654,89.79041654
D130.N1,44.68458056,-109.0226694,7.27,343.0829186,8,24.13426567,32.13426567
D131.N1,51.50310772,11.91520833,5.26,579.8788404,23,69.02692816,92.02692816
D132.N1,50.98521456,5.585535,3.06,827.2090711,4,31.13813093,35.13813093
D136.N2,67.61903,33.66664,4.48,513.3337619,12,49.87430696,61.87430696
D137.N1,-35.69870833,143.6341389,5.37,364.2563198,26,37.00408036,63.00408036
D138.N1,45.538721,12.745259,7.96,1189.651185,48,24.61391292,72.61391292
D139.N1,39.09396,8.867068,6.34,614.9987915,26,45.41060964,71.41060964
D141.N1,39.37364722,-1.503408333,7.55,457.6600748,18,20.25222476,38.25222476
D143.N1,56.52328021,16.51175322,7.51,581.0660523,16,95.05236038,111.0523604
D145.N3,42.7085,-1.20675,6.55,1037.232719,33,162.0554268,195.0554268
D149.N1,46.98672778,142.8067583,2.71,879.0649988,26,60.97751858,86.97751858
D150.N1,40.695986,-3.8806894,5.19,535.8459585,14,80.76749885,94.76749885
D153.N1,45.270035,11.699754,6.98,887.8964414,42,42.11643627,84.11643627
D154.N1,52.99025,9.84205,2.65,710.7916904,13,36.00146836,49.00146836
D156.N1,-23.04687167,-48.63777779,3.72,1337.926831,3,37.14706153,40.14706153
D157.N1,42.12261736,1.407005,7.01,756.1624231,52,122.6197224,174.6197224
D158.N2,48.39669011,9.419228222,5.43,955.1926327,58,78.55186029,136.5518603
D160.N2,42.70102625,0.789303611,3.73,903.8784759,14,185.6535462,199.6535462
D161.N1,47.96448889,5.04595,5.55,863.6543697,34,45.25635637,79.25635637
D163.N1,57.5895576,10.1582584,5.0,692.8755464,20,69.64312365,89.64312365
D168.N1,30.14361954,51.54816055,7.28,550.1721482,27,50.49712713,77.49712713
D169.N1,61.168192,-45.387742,4.22,971.1177832,21,52.99279768,73.99279768
D171.N1,40.86725,38.13466667,5.26,763.9732746,27,64.84009004,91.84009004
D182.N1,60.69401742,5.086421064,3.94,2261.595754,24,64.89416736,88.89416736
D185.N1,39.986922,115.436958,5.81,483.7713671,29,98.08782565,127.0878257
D186.N1,48.49414444,19.21201528,4.55,716.6164646,4,65.80364082,69.80364082
D190.N1,53.88335,23.33924,5.08,600.1526358,20,122.506388,142.506388
D191.N1,61.017695,8.150801,3.51,848.5637298,31,33.25762724,64.25762724
D192.N1,60.948776,6.489504,3.35,1741.637462,29,32.71674352,61.71674352
D194.N1,47.051686,33.617807,6.81,438.6275138,59,127.2626306,186.2626306
D196.N1,36.845681,50.446367,5.55,844.3349621,24,33.39579366,57.39579366
D199.N2,39.830558,110.337706,6.28,376.1965057,9,19.27938544,28.27938544
