kingdom,sample_id,richness_nonzero_taxa
BAC,D113.N1,2260
BAC,D113.N2,6730
BAC,D117.N1,1989
BAC,D117.N2,2694
BAC,D118.N1,852
BAC,D118.N2,3870
BAC,D119.N1,2079
BAC,D119.N2,1692
BAC,D121.N1,1907
BAC,D122.N1,4287
BAC,D123.N1,2452
BAC,D123.N2,2477
BAC,D124.N1,6126
BAC,D125.N1,6177
BAC,D126.N1,6228
BAC,D127.N1,5707
BAC,D128.N1,3840
BAC,D129.N1,5436
BAC,D130.N1,1352
BAC,D131.N1,3877
BAC,D132.N1,2538
BAC,D136.N2,2201
BAC,D136.N3,3820
BAC,D137.N1,1987
BAC,D138.N1,2616
BAC,D139.N1,6099
BAC,D140.N1,302
BAC,D140.N2,889
BAC,D141.N1,7351
BAC,D143.N1,424
BAC,D145.N1,5951
BAC,D145.N2,6358
BAC,D145.N3,6340
BAC,D149.N1,2669
BAC,D150.N1,6838
BAC,D152.N1,2772
BAC,D153.N1,5880
BAC,D154.N1,2430
BAC,D156.N1,3463
BAC,D157.N1,4011
BAC,D158.N1,3438
BAC,D158.N2,6115
BAC,D160.N1,5762
BAC,D160.N2,2982
BAC,D161.N1,5664
BAC,D163.N1,3901
BAC,D164.N1,5883
BAC,D165.N1,2609
BAC,D165.N2,5228
BAC,D168.N1,1837
BAC,D169.N1,3327
BAC,D171.N1,6967
BAC,D182.N1,3017
BAC,D182.N2,165
BAC,D182.N3,4
BAC,D183.N1,4532
BAC,D185.N1,6562
BAC,D186.N1,6979
BAC,D187.N1,6309
BAC,D190.N1,7226
BAC,D190.N2,5074
BAC,D191.N1,5440
BAC,D192.N1,5182
BAC,D193.N1,5682
BAC,D194.N1,6386
BAC,D196.N1,7171
BAC,D199.N1,6780
BAC,D199.N2,6662
EUK,D009.N1,659
EUK,D010.N1,1026
EUK,D016.N1,31
EUK,D017.N1,547
EUK,D018.N1,704
EUK,D018.N2,498
EUK,D018.N3,32
EUK,D019.N1,352
EUK,D022.N1,720
EUK,D022.N2,1095
EUK,D030.N1,872
EUK,D031.N1,1
EUK,D032.N1,612
EUK,D034.N1,344
EUK,D034.N2,691
EUK,D037.N1,1906
EUK,D038.N1,588
EUK,D039.N1,1099
EUK,D040.N1,1176
EUK,D040.N2,1421
EUK,D040.N3,943
EUK,D047.N1,761
EUK,D051.N1,1049
EUK,D054.N1,711
EUK,D056.N1,867
EUK,D060.N1,1224
EUK,D061.N1,474
EUK,D062.N1,875
EUK,D063.N1,933
EUK,D064.N1,836
EUK,D068.N1,428
EUK,D068.N2,842
EUK,D072.N1,68
EUK,D072.N2,432
EUK,D076.N1,899
EUK,D077.N1,971
EUK,D081.N1,1363
EUK,D084.N1,1423
EUK,D084.N2,574
EUK,D084.N3,426
EUK,D085.N1,589
EUK,D086.N1,851
EUK,D088.N1,415
EUK,D091.N1,1315
EUK,D092.N1,920
EUK,D093.N1,1184
EUK,D093.N3,544
EUK,D094.N1,471
EUK,D094.N2,143
EUK,D094.N3,2172
EUK,D095.N1,746
EUK,D096.N1,730
EUK,D097.N1,1231
EUK,D098.N1,913
EUK,D100.N1,734
EUK,D100.N2,762
EUK,D100.N3,523
EUK,D101.N1,911
EUK,D103.N1,574
EUK,D106.N1,626
EUK,D107.N1,1208
EUK,D108.N1,684
EUK,D109.N1,701
EUK,D109.N2,877
EUK,D110.N1,216
EUK,D111.N1,439
EUK,D112.N1,1056
EUK,D112.N2,778
EUK,D113.N1,624
EUK,D113.N2,980
EUK,D117.N1,686
EUK,D117.N2,904
EUK,D118.N1,3432
EUK,D118.N2,821
EUK,D119.N1,1068
EUK,D119.N2,395
EUK,D121.N1,684
EUK,D122.N1,868
EUK,D123.N1,921
EUK,D123.N2,342
EUK,D124.N1,770
EUK,D125.N1,939
EUK,D126.N1,789
EUK,D127.N1,794
EUK,D128.N1,894
EUK,D129.N1,1219
EUK,D130.N1,712
EUK,D131.N1,861
EUK,D132.N1,1008
EUK,D136.N2,771
EUK,D137.N1,633
EUK,D138.N1,679
EUK,D139.N1,1205
EUK,D140.N1,493
EUK,D140.N2,408
EUK,D141.N1,1069
EUK,D143.N1,935
EUK,D145.N1,763
EUK,D145.N2,838
EUK,D145.N3,1339
EUK,D149.N1,424
EUK,D150.N1,864
EUK,D152.N1,1034
EUK,D153.N1,1135
EUK,D154.N1,490
EUK,D156.N1,745
EUK,D157.N1,1047
EUK,D158.N1,506
EUK,D158.N2,1010
EUK,D160.N1,670
EUK,D160.N2,986
EUK,D161.N1,772
EUK,D163.N1,860
EUK,D164.N1,1495
EUK,D165.N1,386
EUK,D165.N2,656
EUK,D168.N1,662
EUK,D169.N1,576
EUK,D171.N1,1548
EUK,D182.N1,282
EUK,D182.N2,308
EUK,D182.N3,181
EUK,D183.N1,481
EUK,D185.N1,1702
EUK,D186.N1,1057
EUK,D187.N1,1284
EUK,D190.N1,509
EUK,D190.N2,824
EUK,D191.N1,123
EUK,D192.N1,883
EUK,D193.N1,865
EUK,D194.N1,1100
EUK,D196.N1,1350
EUK,D199.N1,1100
