dataset_a,AMF,BAC,EUK,ITS,META
AMF,1.0,0.8181818181818182,0.8085106382978723,0.823943661971831,0.6846153846153846
BAC,0.8181818181818182,1.0,0.9642857142857143,0.9647887323943662,0.6950354609929078
EUK,0.8085106382978723,0.9642857142857143,1.0,0.9295774647887324,0.6834532374100719
ITS,0.823943661971831,0.9647887323943662,0.9295774647887324,1.0,0.7
META,0.6846153846153846,0.6950354609929078,0.6834532374100719,0.7,1.0
