kingdom,sample_id,library_size
AMF,D169.N1,2826.0
AMF,D171.N1,210.0
AMF,D182.N1,1914.0
AMF,D182.N3,42.0
AMF,D185.N1,13192.0
AMF,D186.N1,18.0
AMF,D187.N1,9544.0
AMF,D190.N1,17.0
AMF,D191.N1,9.0
AMF,D192.N1,894.0
AMF,D194.N1,1973.0
AMF,D196.N1,1925.0
AMF,D199.N1,8142.0
AMF,D199.N2,644.0
BAC,D009.N1,12643.0
BAC,D010.N1,6996.0
BAC,D016.N1,634.0
BAC,D017.N1,3996.0
BAC,D018.N1,15280.0
BAC,D018.N2,9977.0
BAC,D018.N3,1528.0
BAC,D019.N1,4572.0
BAC,D022.N1,34473.0
BAC,D022.N2,30518.0
BAC,D030.N1,21743.0
BAC,D031.N1,36317.0
BAC,D032.N1,15662.0
BAC,D033.N1,50108.0
BAC,D034.N1,35949.0
BAC,D034.N2,14569.0
BAC,D037.N1,18424.0
BAC,D038.N1,34411.0
BAC,D038.N2,33419.0
BAC,D039.N1,21259.0
BAC,D040.N1,24375.0
BAC,D040.N2,18457.0
BAC,D040.N3,9676.0
BAC,D047.N1,42622.0
BAC,D051.N1,9089.0
BAC,D054.N1,16654.0
BAC,D056.N1,27244.0
BAC,D060.N1,7026.0
BAC,D061.N1,27204.0
BAC,D062.N1,21133.0
BAC,D063.N1,13335.0
BAC,D064.N1,7964.0
BAC,D068.N1,1386.0
BAC,D068.N2,18950.0
BAC,D072.N1,1989.0
BAC,D072.N2,1752.0
BAC,D076.N1,13516.0
BAC,D077.N1,7682.0
BAC,D081.N1,18848.0
BAC,D084.N1,8369.0
BAC,D084.N2,18887.0
BAC,D084.N3,29968.0
BAC,D085.N1,20948.0
BAC,D086.N1,20536.0
BAC,D088.N1,13344.0
BAC,D089.N1,31065.0
BAC,D091.N1,5465.0
BAC,D092.N1,14190.0
BAC,D093.N1,14572.0
BAC,D093.N3,5502.0
BAC,D094.N1,7728.0
BAC,D094.N2,1552.0
BAC,D094.N3,4694.0
BAC,D095.N1,39180.0
BAC,D096.N1,6472.0
BAC,D097.N1,16481.0
BAC,D098.N1,8965.0
BAC,D100.N1,16802.0
BAC,D100.N2,5730.0
BAC,D100.N3,3790.0
BAC,D101.N1,22607.0
BAC,D103.N1,15606.0
BAC,D104.N1,31159.0
BAC,D106.N1,27334.0
BAC,D107.N1,44537.0
BAC,D108.N1,14088.0
BAC,D109.N1,11316.0
BAC,D109.N2,9064.0
BAC,D110.N1,5540.0
BAC,D111.N1,13839.0
BAC,D112.N1,22789.0
BAC,D112.N2,22028.0
BAC,D113.N1,6438.0
BAC,D113.N2,22805.0
BAC,D117.N1,6914.0
BAC,D117.N2,8308.0
BAC,D118.N1,2134.0
BAC,D118.N2,13528.0
BAC,D119.N1,5722.0
BAC,D119.N2,5594.0
BAC,D121.N1,5432.0
BAC,D122.N1,36366.0
BAC,D123.N1,7016.0
BAC,D123.N2,11262.0
BAC,D124.N1,32893.0
BAC,D125.N1,21835.0
BAC,D126.N1,22292.0
BAC,D127.N1,18712.0
BAC,D128.N1,16204.0
BAC,D129.N1,20785.0
BAC,D130.N1,4194.0
BAC,D131.N1,13570.0
BAC,D132.N1,11056.0
BAC,D136.N2,6946.0
BAC,D136.N3,30137.0
BAC,D137.N1,6534.0
BAC,D138.N1,8182.0
BAC,D139.N1,21854.0
BAC,D140.N1,958.0
BAC,D140.N2,3916.0
BAC,D141.N1,25761.0
BAC,D143.N1,627.0
BAC,D145.N1,23376.0
BAC,D145.N2,19881.0
BAC,D145.N3,16782.0
BAC,D149.N1,13694.0
BAC,D150.N1,21982.0
BAC,D152.N1,9881.0
BAC,D153.N1,21402.0
BAC,D154.N1,13619.0
BAC,D156.N1,36425.0
BAC,D157.N1,12944.0
BAC,D158.N1,42903.0
BAC,D158.N2,47891.0
BAC,D160.N1,22985.0
BAC,D160.N2,12240.0
BAC,D161.N1,39676.0
BAC,D163.N1,15452.0
BAC,D164.N1,39971.0
BAC,D165.N1,7758.0
BAC,D165.N2,20213.0
BAC,D168.N1,5182.0
BAC,D169.N1,10954.0
BAC,D171.N1,38191.0
BAC,D182.N1,10810.0
BAC,D182.N2,420.0
BAC,D182.N3,8.0
BAC,D183.N1,49402.0
BAC,D185.N1,36355.0
BAC,D186.N1,45216.0
BAC,D187.N1,45995.0
BAC,D190.N1,41070.0
BAC,D190.N2,35818.0
BAC,D191.N1,34731.0
BAC,D192.N1,33473.0
BAC,D193.N1,45338.0
BAC,D194.N1,43697.0
BAC,D196.N1,48488.0
BAC,D199.N1,44475.0
BAC,D199.N2,46608.0
EUK,D009.N1,8301.0
EUK,D010.N1,8217.0
EUK,D016.N1,369.0
EUK,D017.N1,5781.0
EUK,D018.N1,14070.0
EUK,D018.N2,7534.0
EUK,D018.N3,37.0
EUK,D019.N1,8828.0
EUK,D022.N1,29891.0
EUK,D022.N2,45045.0
EUK,D030.N1,20269.0
EUK,D031.N1,1.0
EUK,D032.N1,14521.0
EUK,D034.N1,58591.0
EUK,D034.N2,21179.0
EUK,D037.N1,43776.0
EUK,D038.N1,33153.0
EUK,D039.N1,14162.0
EUK,D040.N1,27410.0
EUK,D040.N2,26793.0
EUK,D040.N3,16366.0
EUK,D047.N1,37810.0
EUK,D051.N1,15039.0
EUK,D054.N1,29213.0
EUK,D056.N1,45974.0
EUK,D060.N1,124077.0
EUK,D061.N1,6828.0
EUK,D062.N1,14977.0
EUK,D063.N1,9593.0
EUK,D064.N1,14894.0
EUK,D068.N1,5981.0
EUK,D068.N2,19297.0
EUK,D072.N1,598.0
EUK,D072.N2,15705.0
EUK,D076.N1,13749.0
EUK,D077.N1,13406.0
EUK,D081.N1,26324.0
EUK,D084.N1,18951.0
EUK,D084.N2,32123.0
EUK,D084.N3,5936.0
EUK,D085.N1,14644.0
EUK,D086.N1,13460.0
EUK,D088.N1,8330.0
EUK,D091.N1,22824.0
EUK,D092.N1,32825.0
EUK,D093.N1,24609.0
EUK,D093.N3,17285.0
EUK,D094.N1,13018.0
EUK,D094.N2,2063.0
EUK,D094.N3,14813.0
EUK,D095.N1,55005.0
EUK,D096.N1,5622.0
EUK,D097.N1,23648.0
EUK,D098.N1,14397.0
EUK,D100.N1,26795.0
EUK,D100.N2,3930.0
EUK,D100.N3,13455.0
EUK,D101.N1,50570.0
EUK,D103.N1,10903.0
EUK,D106.N1,7466.0
EUK,D107.N1,35957.0
EUK,D108.N1,7627.0
