record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,A,abiotic_base,20380669,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.21086940947800226,0.1812770123334273,7.125796820304579,0.001,999,direct_aitchison,,,,,,,,0.1812770123334273,0.0
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,A,abiotic_base,20380669,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.21086940947800226,0.1812770123334273,7.125796820304579,0.001,999,direct_aitchison,pH_KCl,0.21086940947800226,0.07288930866580212,0.13798010081220013,0.1812770123334273,0.04999768665755033,0.13127932567587697,0.1812770123334273,0.0
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,A,abiotic_base,20380669,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.21086940947800226,0.1812770123334273,7.125796820304579,0.001,999,direct_aitchison,bio12now.100,0.21086940947800226,0.19048900824141268,0.020380401236589574,0.1812770123334273,0.17050108251897855,0.010775929814448748,0.1812770123334273,0.0
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,A,abiotic_base,20380669,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.21086940947800226,0.1812770123334273,7.125796820304579,0.001,999,direct_aitchison,N_pct,0.21086940947800226,0.1980949637368652,0.012774445741137064,0.1812770123334273,0.17829483938468904,0.0029821729487382598,0.1812770123334273,0.0
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,direct_aitchison,,,,,,,,0.1812770123334273,0.017159730491476788
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,direct_aitchison,pH_KCl,0.23706629738755924,0.1305509363214845,0.10651536106607473,0.1984367428249041,0.0979465964335402,0.10049014639136389,0.1812770123334273,0.017159730491476788
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,direct_aitchison,alpha,0.23706629738755924,0.21086940947800226,0.026196887909556987,0.1984367428249041,0.1812770123334273,0.017159730491476788,0.1812770123334273,0.017159730491476788
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,direct_aitchison,bio12now.100,0.23706629738755924,0.22026084132882706,0.016805456058732182,0.1984367428249041,0.19102062287865818,0.007416119946245914,0.1812770123334273,0.017159730491476788
predictor_effect,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,direct_aitchison,N_pct,0.23706629738755924,0.22464971275320433,0.01241658463435491,0.1984367428249041,0.19557407698144957,0.002862665843454515,0.1812770123334273,0.017159730491476788
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,C,abiotic_plus_dark,20380671,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.22324243767140428,0.18391294084463994,5.676208842811441,0.001,999,direct_aitchison,,,,,,,,0.1812770123334273,0.0026359285112126374
