record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,0,BAC↔ITS,presence/absence,0.05,primary,A,abiotic_base,20260603,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.26680359056383185,0.2393087252099756,9.703760579660782,0.001,999,direct_aitchison,,,,,,,,0.2393087252099756,0.0
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,A,abiotic_base,20260603,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.26680359056383185,0.2393087252099756,9.703760579660782,0.001,999,direct_aitchison,pH_KCl,0.26680359056383185,0.10246168416684232,0.16434190639698953,0.2393087252099756,0.08030024426972726,0.15900848094024833,0.2393087252099756,0.0
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,A,abiotic_base,20260603,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.26680359056383185,0.2393087252099756,9.703760579660782,0.001,999,direct_aitchison,N_pct,0.26680359056383185,0.2400975794313953,0.026706011132436536,0.2393087252099756,0.2213345567013063,0.017974168508669286,0.2393087252099756,0.0
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,A,abiotic_base,20260603,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.26680359056383185,0.2393087252099756,9.703760579660782,0.001,999,direct_aitchison,bio12now.100,0.26680359056383185,0.24714714154187456,0.01965644902195729,0.2393087252099756,0.22855818207377265,0.010750543136202939,0.2393087252099756,0.0
model_summary,0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999,direct_aitchison,,,,,,,,0.2393087252099756,0.008928859693503322
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999,direct_aitchison,pH_KCl,0.2844670988840342,0.14476371666445076,0.13970338221958345,0.24823758490347891,0.11269235603936756,0.13554522886411136,0.2393087252099756,0.008928859693503322
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999,direct_aitchison,N_pct,0.2844670988840342,0.2588420221474942,0.02562507673654002,0.24823758490347891,0.23104859797802524,0.017188986925453675,0.2393087252099756,0.008928859693503322
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999,direct_aitchison,bio12now.100,0.2844670988840342,0.26549888796873045,0.018968210915303763,0.24823758490347891,0.23795509626755784,0.010282488635921072,0.2393087252099756,0.008928859693503322
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999,direct_aitchison,alpha,0.2844670988840342,0.26680359056383185,0.01766350832020236,0.24823758490347891,0.2393087252099756,0.008928859693503322,0.2393087252099756,0.008928859693503322
model_summary,0,BAC↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20260605,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.27876066683639034,0.24224221958759995,7.633420581583572,0.001,999,direct_aitchison,,,,,,,,0.2393087252099756,0.002933494377624357
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20260605,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.27876066683639034,0.24224221958759995,7.633420581583572,0.001,999,direct_aitchison,pH_KCl,0.27876066683639034,0.12364298429496001,0.15511768254143032,0.24224221958759995,0.09077959620602094,0.151462623381579,0.2393087252099756,0.002933494377624357
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20260605,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.27876066683639034,0.24224221958759995,7.633420581583572,0.001,999,direct_aitchison,N_pct,0.27876066683639034,0.2557572580235975,0.023003408812792836,0.24224221958759995,0.22784815519948243,0.014394064388117522,0.2393087252099756,0.002933494377624357
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20260605,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.27876066683639034,0.24224221958759995,7.633420581583572,0.001,999,direct_aitchison,bio12now.100,0.27876066683639034,0.26004788644067856,0.01871278039571178,0.24224221958759995,0.23229968218220398,0.009942537405395968,0.2393087252099756,0.002933494377624357
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20260605,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.27876066683639034,0.24224221958759995,7.633420581583572,0.001,999,direct_aitchison,dark,0.27876066683639034,0.26680359056383185,0.011957076272558487,0.24224221958759995,0.2393087252099756,0.002933494377624357,0.2393087252099756,0.002933494377624357
model_summary,0,BAC↔ITS,presence/absence,0.05,primary,D,abiotic_plus_pool,20260606,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.2830638956074577,0.2467633333597341,7.797782681043958,0.001,999,direct_aitchison,,,,,,,,0.2393087252099756,0.007454608149758513
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,D,abiotic_plus_pool,20260606,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.2830638956074577,0.2467633333597341,7.797782681043958,0.001,999,direct_aitchison,pH_KCl,0.2830638956074577,0.1363494827399837,0.146714412867474,0.2467633333597341,0.10396258834273309,0.14280074501700102,0.2393087252099756,0.007454608149758513
predictor_effect,0,BAC↔ITS,presence/absence,0.05,primary,D,abiotic_plus_pool,20260606,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.2830638956074577,0.2467633333597341,7.797782681043958,0.001,999,direct_aitchison,N_pct,0.2830638956074577,0.2602496903935967,0.022814205213861016,0.2467633333597341,0.2325090537833565,0.014254279576377593,0.2393087252099756,0.007454608149758513
