record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,,,,,,,
summary,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,,,,,,,
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,pH_KCl,0.2711311119812432,0.1762374389744725,0.0948936730067706,0.2039984512426734,0.1120481485049508,0.0919503027377226
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,alpha,0.2711311119812432,0.2478338928522623,0.0232972191289808,0.2039984512426734,0.1892235468407503,0.014774904401923
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,N_pct,0.2711311119812432,0.2565765693934797,0.0145545425877634,0.2039984512426734,0.1986474709046599,0.0053509803380135
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,lon,0.2711311119812432,0.2570992654508646,0.0140318465303785,0.2039984512426734,0.1992108965249579,0.0047875547177155
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,lat,0.2711311119812432,0.2572691278936095,0.0138619840876336,0.2039984512426734,0.1993939950022025,0.0046044562404709
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,bio12now.100,0.2711311119812432,0.2585778627563626,0.0125532492248805,0.2039984512426734,0.2008047092049104,0.003193742037763
predictor_ranking,3,AMF↔ITS,CLR,0.05,geography_sensitivity,20290624,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2711311119812432,0.2039984512426734,4.038736272305536,0.001,999,compl,0.2711311119812432,0.2660238084164581,0.005107303564785,0.2039984512426734,0.2088308584229353,-0.0048324071802618
predictor_ranking,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,pH_KCl,0.2430434741821199,0.1482586579580893,0.0947848162240305,0.194520619963025,0.1051325140572331,0.0893881059057919
predictor_ranking,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,alpha,0.2430434741821199,0.2189013562582493,0.0241421179238705,0.194520619963025,0.1793520578409454,0.0151685621220796
predictor_ranking,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,N_pct,0.2430434741821199,0.2266552715801153,0.0163882026020045,0.194520619963025,0.1874985764702478,0.0070220434927772
predictor_ranking,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,bio12now.100,0.2430434741821199,0.2311238558626167,0.0119196183195031,0.194520619963025,0.1921934181847745,0.0023272017782505
predictor_ranking,3,AMF↔ITS,CLR,0.05,primary,20290623,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2430434741821199,0.194520619963025,5.008845380049317,0.001,999,compl,0.2430434741821199,0.2375011331305415,0.0055423410515783,0.194520619963025,0.1988935955675309,-0.0043729756045058
