record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,,,,,,,
summary,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,,,,,,,
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,pH_KCl,0.3385836386228675,0.1898007366232289,0.1487829019996386,0.2776637106012896,0.126668326489974,0.1509953841113155
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,N_pct,0.3385836386228675,0.3131232466369518,0.0254603919859157,0.2776637106012896,0.2596003827385325,0.0180633278627571
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,bio12now.100,0.3385836386228675,0.3208233429242291,0.0177602956986384,0.2776637106012896,0.2679004865287144,0.0097632240725751
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,alpha,0.3385836386228675,0.3229003388709489,0.0156832997519186,0.2776637106012896,0.2701393263154384,0.0075243842858511
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,lat,0.3385836386228675,0.3240634736899155,0.014520164932952,0.2776637106012896,0.2713930950164024,0.0062706155848871
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,lon,0.3385836386228675,0.3272843801802383,0.0112992584426292,0.2776637106012896,0.2748649812332439,0.0027987293680457
predictor_ranking,1,BAC↔ITS,CLR,0.05,geography_sensitivity,20270610,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3385836386228675,0.2776637106012896,5.557846990609384,0.001,999,compl,0.3385836386228675,0.3332066113177461,0.0053770273051214,0.2776637106012896,0.2812486849269211,-0.0035849743256315
predictor_ranking,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,pH_KCl,0.3132589045343135,0.1631431616028351,0.1501157429314783,0.2692370394403591,0.1207706634561432,0.1484663759842158
predictor_ranking,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,N_pct,0.3132589045343135,0.2842557645977533,0.0290031399365601,0.2692370394403591,0.2480155501470067,0.0212214892933524
predictor_ranking,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,bio12now.100,0.3132589045343135,0.2961368831468524,0.0171220213874611,0.2692370394403591,0.2604982443188449,0.0087387951215142
predictor_ranking,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,alpha,0.3132589045343135,0.2984102105215543,0.0148486940127591,0.2692370394403591,0.262886676877076,0.0063503625632831
predictor_ranking,1,BAC↔ITS,CLR,0.05,primary,20270609,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.3132589045343135,0.2692370394403591,7.115984383345331,0.001,999,compl,0.3132589045343135,0.308230203186166,0.0050287013481474,0.2692370394403591,0.2732038843601491,-0.0039668449197899
