record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,,,,,,,
summary,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,,,,,,,
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,pH_KCl,0.2876421265241181,0.1838165857099678,0.1038255408141503,0.2220302171250237,0.1202178781029523,0.1018123390220713
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,lat,0.2876421265241181,0.2554230018483513,0.0322191246757668,0.2220302171250237,0.1974040149793916,0.024626202145632
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,N_pct,0.2876421265241181,0.2648528395139138,0.0227892870102043,0.2220302171250237,0.2075686451903227,0.0144615719347009
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,alpha,0.2876421265241181,0.2677984254654522,0.0198437010586659,0.2220302171250237,0.210743757319903,0.0112864598051206
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,bio12now.100,0.2876421265241181,0.2715331773015645,0.0161089492225535,0.2220302171250237,0.2147695287796085,0.0072606883454151
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,lon,0.2876421265241181,0.2806140558903369,0.0070280706337811,0.2220302171250237,0.2245580082973761,-0.0025277911723524
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20300631,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,compl,0.2876421265241181,0.2828797221864093,0.0047624043377088,0.2220302171250237,0.2270002200191165,-0.0049700028940928
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,pH_KCl,0.2483212966154268,0.1451137956751449,0.1032075009402818,0.2001367643471849,0.101828418240975,0.0983083461062099
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,N_pct,0.2483212966154268,0.2238159212063201,0.0245053754091066,0.2001367643471849,0.1845154615205642,0.0156213028266207
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,alpha,0.2483212966154268,0.2286188409698354,0.0197024556455913,0.2001367643471849,0.1895615670948903,0.0105751972522946
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,bio12now.100,0.2483212966154268,0.2323586972331965,0.0159625993822302,0.2001367643471849,0.1934907831690546,0.0066459811781303
predictor_ranking,4,EUK↔ITS,presence/absence,0.05,primary,20300630,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,compl,0.2483212966154268,0.2432959073125417,0.005025389302885,0.2001367643471849,0.2049817760372273,-0.0048450116900423
