method,success,disparity,n_samples,n_dimensions,correlation,p_value,n_permutations,n_permutations_effective,null_disparity_mean,null_disparity_std,ordination_a,ordination_b,modality
Procrustes,True,0.4889269137909584,84,10,0.7148937586865911,0.001,999,999,0.9264767043146301,0.02048999043827722,clr_0.01,clr_0.05,EUK
Procrustes,True,0.5074444351092853,84,10,0.7018230296098262,0.001,999,999,0.9257925076759542,0.018463369582459848,clr_0.01,clr_0.10,EUK
Procrustes,True,0.03386039657737955,84,10,0.9829240069418493,0.001,999,999,0.9257794482161521,0.015052898225491433,clr_0.05,clr_0.10,EUK
Procrustes,True,0.33571843419745934,84,10,0.8150347022075444,0.001,999,999,0.9176268299177842,0.0115059974473407,jaccard_pcoa,bray_curtis_pcoa,ITS
Procrustes,True,0.38814874099467084,84,10,0.7822092169012902,0.001,999,999,0.9173437550181296,0.011177688781103338,jaccard_pcoa,clr_0.01,ITS
Procrustes,True,0.29558757173529915,84,10,0.8392928143769022,0.001,999,999,0.919208861461629,0.01134408540866771,jaccard_pcoa,clr_0.05,ITS
Procrustes,True,0.25733121743216636,84,10,0.8617823289948766,0.001,999,999,0.9202231830509926,0.011462476577529081,jaccard_pcoa,clr_0.10,ITS
Procrustes,True,0.4849249605464483,84,10,0.7176872852806797,0.001,999,999,0.9174718934454945,0.011694537114654655,bray_curtis_pcoa,clr_0.01,ITS
Procrustes,True,0.3709739675973187,84,10,0.7931116140888879,0.001,999,999,0.9189307772113584,0.011666794594702169,bray_curtis_pcoa,clr_0.05,ITS
Procrustes,True,0.3304877369439587,84,10,0.818237290189124,0.001,999,999,0.919911337973137,0.011677183723932944,bray_curtis_pcoa,clr_0.10,ITS
Procrustes,True,0.09482898764833651,84,10,0.9514047573728353,0.001,999,999,0.9210463527823657,0.014025008897992105,clr_0.01,clr_0.05,ITS
Procrustes,True,0.1599115448442171,84,10,0.9165633939645325,0.001,999,999,0.9214210768034152,0.013070687918603668,clr_0.01,clr_0.10,ITS
Procrustes,True,0.052267513105438076,84,10,0.9735155298682003,0.001,999,999,0.9224998904191144,0.012356523896557156,clr_0.05,clr_0.10,ITS
