method,success,disparity,n_samples,n_dimensions,correlation,p_value,n_permutations,n_permutations_effective,null_disparity_mean,null_disparity_std,ordination_a,ordination_b,modality
Procrustes,True,0.42654068947836254,84,10,0.7572709624181008,0.001,999,999,0.920451520747339,0.01136873673433938,jaccard_pcoa,bray_curtis_pcoa,AMF
Procrustes,True,0.462026047646827,84,10,0.7334670765298008,0.001,999,999,0.9238905556917261,0.011631373515832256,jaccard_pcoa,clr_0.01,AMF
Procrustes,True,0.46166420288401633,84,10,0.733713702418037,0.001,999,999,0.9229862670212283,0.011372399868741369,jaccard_pcoa,clr_0.05,AMF
Procrustes,True,0.46982388650926665,84,10,0.7281319341237091,0.001,999,999,0.9225391458050162,0.01131457366839568,jaccard_pcoa,clr_0.10,AMF
Procrustes,True,0.43456885640467713,84,10,0.7519515566812283,0.001,999,999,0.9224514319507295,0.011426856584681603,bray_curtis_pcoa,clr_0.01,AMF
Procrustes,True,0.4106073089189312,84,10,0.7677191485700148,0.001,999,999,0.9213957357523832,0.011408553523239872,bray_curtis_pcoa,clr_0.05,AMF
Procrustes,True,0.4216540791009803,84,10,0.7604905790994521,0.001,999,999,0.9210354478569631,0.01148401395490634,bray_curtis_pcoa,clr_0.10,AMF
Procrustes,True,0.04939879034323877,84,10,0.9749877997476489,0.001,999,999,0.9260892879563117,0.011939991287670612,clr_0.01,clr_0.05,AMF
Procrustes,True,0.09601409219204256,84,10,0.9507817351043075,0.001,999,999,0.9257456386801698,0.011824861789525425,clr_0.01,clr_0.10,AMF
Procrustes,True,0.032649494049276404,84,10,0.9835397836136185,0.001,999,999,0.9245853991133961,0.011790964491305414,clr_0.05,clr_0.10,AMF
Procrustes,True,0.11414266457853103,84,10,0.9411999444440424,0.001,999,999,0.9239494073790535,0.011494721535606755,jaccard_pcoa,bray_curtis_pcoa,BAC
Procrustes,True,0.29272177749821915,84,10,0.840998348691471,0.001,999,999,0.922243411163694,0.011793643172477265,jaccard_pcoa,clr_0.01,BAC
Procrustes,True,0.2356665805688518,84,10,0.8742616424338588,0.001,999,999,0.9237928095064049,0.011653168626764306,jaccard_pcoa,clr_0.05,BAC
Procrustes,True,0.22474416086855184,84,10,0.8804861379553051,0.001,999,999,0.9251068775866036,0.011612254900667203,jaccard_pcoa,clr_0.10,BAC
Procrustes,True,0.2730114630930883,84,10,0.8526362277706193,0.001,999,999,0.9256974929998508,0.011560993001882512,bray_curtis_pcoa,clr_0.01,BAC
Procrustes,True,0.22068248251406913,84,10,0.8827896224389652,0.001,999,999,0.92715921473059,0.011418200767603465,bray_curtis_pcoa,clr_0.05,BAC
Procrustes,True,0.2030936630879962,84,10,0.8926961055768103,0.001,999,999,0.9283646635018514,0.011424804273960353,bray_curtis_pcoa,clr_0.10,BAC
Procrustes,True,0.04514685704623371,84,10,0.9771658727942594,0.001,999,999,0.9261475969280123,0.012390982739876944,clr_0.01,clr_0.05,BAC
Procrustes,True,0.0698677669258907,84,10,0.9644336333175599,0.001,999,999,0.9272443290597348,0.012163068429487413,clr_0.01,clr_0.10,BAC
Procrustes,True,0.011228005277895121,84,10,0.9943701497541569,0.001,999,999,0.9285446461849458,0.012031938025388548,clr_0.05,clr_0.10,BAC
Procrustes,True,0.251094773912011,84,10,0.8653931049459481,0.001,999,999,0.9185501870399262,0.012348360424848319,jaccard_pcoa,bray_curtis_pcoa,EUK
Procrustes,True,0.6077467630029754,84,10,0.626301235027542,0.001,999,999,0.918288566208752,0.010683204451813033,jaccard_pcoa,clr_0.01,EUK
Procrustes,True,0.31715918658220293,84,10,0.8263418260125751,0.001,999,999,0.9202651985627134,0.011487635890049116,jaccard_pcoa,clr_0.05,EUK
Procrustes,True,0.27656737285176014,84,10,0.8505484272798578,0.001,999,999,0.9211799541742908,0.011744701621366632,jaccard_pcoa,clr_0.10,EUK
Procrustes,True,0.6614503950711831,84,10,0.5818501567661701,0.001,999,999,0.9202553313025301,0.01232234839221974,bray_curtis_pcoa,clr_0.01,EUK
Procrustes,True,0.3306263579169724,84,10,0.8181525787302928,0.001,999,999,0.9212209513844054,0.0119577978443844,bray_curtis_pcoa,clr_0.05,EUK
Procrustes,True,0.30870216232436,84,10,0.8314432257680855,0.001,999,999,0.9219975536851938,0.012004789630085005,bray_curtis_pcoa,clr_0.10,EUK
