prevalence_threshold,threshold_label,min_occurrences,total_features,features_retained,features_removed,fraction_retained,samples_with_zero_retained
0.005,0.5%,1,386,280,106,0.725389,0
0.01,1.0%,1,386,280,106,0.725389,0
0.02,2.0%,2,386,217,169,0.562176,0
0.03,3.0%,3,386,186,200,0.481865,0
0.05,5.0%,5,386,148,238,0.38342,0
0.075,7.5%,7,386,124,262,0.321244,1
0.1,10.0%,9,386,106,280,0.274611,1
0.15,15.0%,13,386,76,310,0.196891,1
0.2,20.0%,17,386,53,333,0.137306,6
