prevalence_threshold,threshold_label,min_occurrences,total_features,features_retained,features_removed,fraction_retained,samples_with_zero_retained
0.005,0.5%,1,291699,115574,176125,0.39621,0
0.01,1.0%,1,291699,115574,176125,0.39621,0
0.02,2.0%,2,291699,49607,242092,0.170062,0
0.03,3.0%,3,291699,30434,261265,0.104334,0
0.05,5.0%,5,291699,16561,275138,0.056774,0
0.075,7.5%,7,291699,10813,280886,0.037069,0
0.1,10.0%,9,291699,7786,283913,0.026692,0
0.15,15.0%,13,291699,4657,287042,0.015965,0
0.2,20.0%,17,291699,3020,288679,0.010353,0
