prevalence_threshold,threshold_label,min_occurrences,total_features,features_retained,features_removed,fraction_retained,samples_with_zero_retained
0.005,0.5%,1,58205,27880,30325,0.478997,0
0.01,1.0%,1,58205,27880,30325,0.478997,0
0.02,2.0%,2,58205,12764,45441,0.219294,0
0.03,3.0%,3,58205,7763,50442,0.133373,0
0.05,5.0%,5,58205,4126,54079,0.070887,0
0.075,7.5%,7,58205,2472,55733,0.042471,0
0.1,10.0%,9,58205,1651,56554,0.028365,0
0.15,15.0%,13,58205,814,57391,0.013985,0
0.2,20.0%,17,58205,434,57771,0.007456,0
