modality,strategy,n_samples,n_features,engine,success,n_dimensions,n_features_retained
AMF,jaccard_pcoa,84,386.0,skbio,True,10,
AMF,bray_curtis_pcoa,84,386.0,skbio,True,10,
AMF,bray_curtis_nmds,84,386.0,none,False,0,
AMF,jaccard_nmds,84,386.0,none,False,0,
AMF,CLR_PCA_1%,84,,sklearn,True,10,280.0
AMF,CLR_PCA_5%,84,,sklearn,True,10,148.0
AMF,CLR_PCA_10%,84,,sklearn,True,10,106.0
BAC,jaccard_pcoa,84,291699.0,skbio,True,10,
BAC,bray_curtis_pcoa,84,291699.0,skbio,True,10,
BAC,bray_curtis_nmds,84,291699.0,none,False,0,
BAC,jaccard_nmds,84,291699.0,none,False,0,
BAC,CLR_PCA_1%,84,,sklearn,True,10,115574.0
BAC,CLR_PCA_5%,84,,sklearn,True,10,16561.0
BAC,CLR_PCA_10%,84,,sklearn,True,10,7786.0
EUK,jaccard_pcoa,84,58205.0,skbio,True,10,
EUK,bray_curtis_pcoa,84,58205.0,skbio,True,10,
EUK,bray_curtis_nmds,84,58205.0,none,False,0,
EUK,jaccard_nmds,84,58205.0,none,False,0,
EUK,CLR_PCA_1%,84,,sklearn,True,10,27880.0
EUK,CLR_PCA_5%,84,,sklearn,True,10,4126.0
EUK,CLR_PCA_10%,84,,sklearn,True,10,1651.0
ITS,jaccard_pcoa,84,26285.0,skbio,True,10,
ITS,bray_curtis_pcoa,84,26285.0,skbio,True,10,
ITS,bray_curtis_nmds,84,26285.0,none,False,0,
ITS,jaccard_nmds,84,26285.0,none,False,0,
ITS,CLR_PCA_1%,84,,sklearn,True,10,8506.0
ITS,CLR_PCA_5%,84,,sklearn,True,10,1286.0
ITS,CLR_PCA_10%,84,,sklearn,True,10,518.0
