prevalence_threshold,threshold_label,min_occurrences,total_features,features_retained,features_removed,fraction_retained,samples_with_zero_retained
0.005,0.5%,1,26285,8506,17779,0.323607,0
0.01,1.0%,1,26285,8506,17779,0.323607,0
0.02,2.0%,2,26285,4125,22160,0.156934,0
0.03,3.0%,3,26285,2510,23775,0.095492,0
0.05,5.0%,5,26285,1286,24999,0.048925,0
0.075,7.5%,7,26285,793,25492,0.030169,0
0.1,10.0%,9,26285,518,25767,0.019707,0
0.15,15.0%,13,26285,272,26013,0.010348,0
0.2,20.0%,17,26285,160,26125,0.006087,0
