pair,branch,threshold,procrustes_fit,mantel_spearman,distance_metric,ordination_method,n_features_1,n_features_2,n_samples,excluded_zero_library_samples_a,excluded_zero_library_samples_b
EUK↔ITS,presence/absence,0.05,0.33706566841960856,0.4380918141808563,jaccard,pcoa,4126,1286,84,,
AMF↔ITS,presence/absence,0.05,0.5548121075011843,0.45990195316406357,jaccard,pcoa,148,1286,84,,
AMF↔EUK,presence/absence,0.05,0.625843761144852,0.44702397413641126,jaccard,pcoa,148,4126,84,,
EUK↔ITS,CLR,0.05,0.3102731164471279,0.4091389447949679,euclidean,pca,4126,1286,84,,
AMF↔ITS,CLR,0.05,0.5846708424078187,0.5559547299901196,euclidean,pca,148,1286,84,,
AMF↔EUK,CLR,0.05,0.5908073997702095,0.47841599857754763,euclidean,pca,148,4126,84,,
EUK↔ITS,presence/absence,0.1,0.3398070431463292,0.39019378149664147,jaccard,pcoa,1651,518,84,,
AMF↔ITS,presence/absence,0.1,0.5843043318063703,0.4585957697240603,jaccard,pcoa,106,518,84,,
AMF↔EUK,presence/absence,0.1,0.6478549823255656,0.4281191169018138,jaccard,pcoa,106,1651,84,,
EUK↔ITS,CLR,0.1,0.3231985573074646,0.3651818868228673,euclidean,pca,1651,518,84,,
AMF↔ITS,CLR,0.1,0.6238247476770546,0.47884112645227245,euclidean,pca,106,518,83,D092.N1,
AMF↔EUK,CLR,0.1,0.6240903422193413,0.46561301062195937,euclidean,pca,106,1651,83,D092.N1,
