ref_id,topic_focus,query,title,year,authors,citation_count,url,relevance_score,selected_for_v3,gap_addressed
R27,dark diversity,dark diversity species pool community completeness,"Integrating dark diversity, functional traits, and diagnostic species: a framework to diagnose bottlenecks in forest recovery",2026,"Minghui Wang, Jianrong Su, Wan-de Liu, Shuaifeng Li, Xiaobo Huang",1,https://www.semanticscholar.org/paper/b126f184aaca59d50df32d545846e0eca3a6877b,5,yes,Supports strengthened coverage of dark diversity in manuscript v3
R28,cross-domain microbial coupling,cross-domain microbial coupling,Urban chemical stress disrupts cross-domain microbial networks in river sediments,2026,"Eduardo Acosta, Thomas Backhaus, W. Brack, P. Inostroza",0,https://www.semanticscholar.org/paper/904ab3ab42f0508161f86669981fdad9c180cbcd,5,yes,Supports strengthened coverage of cross-domain microbial coupling in manuscript v3
R29,soil pH filtering,soil pH microbial community filtering,Environmental filtering shapes divergent bacterial strategies and genomic traits across soil niches,2026,"T. Goodall, Robert I. Griffiths, B. Emmett, Briony Jones, A. Thorpe",0,https://www.semanticscholar.org/paper/2d351f7dc9ac901da505a37a33e17c88d71579c4,5,yes,Supports strengthened coverage of soil pH filtering in manuscript v3
R30,dark diversity,dark diversity species pool community completeness,Integrating dark diversity and the species pool to understand biodiversity–ecosystem functioning relationships in temperate forests,2026,"Wushuang Li, John A. Kershaw, Minhui Hao, Chunyu Fan, Juan Wang",0,https://www.semanticscholar.org/paper/5fbbe442a0465ef3d5668e5db1f247f28f02f3c9,5,yes,Supports strengthened coverage of dark diversity in manuscript v3
R31,dark diversity,dark diversity species pool community completeness,Linking forest coverage and fragmentation to the dark diversity of plant communities under different forest management practices.,2025,"Ji‐Zhong Wan, Xiaodan Wang",0,https://www.semanticscholar.org/paper/64e8a3329990e62d8118f24ce1c2d643b423e086,5,yes,Supports strengthened coverage of dark diversity in manuscript v3
R32,plant–soil feedbacks,plant soil feedback microbial community,Plant-soil feedback driven by root-associated fungal communities accelerates the secondary succession of bare saline-alkaline grassland patches,2025,"Xiaona Zheng, Yuhong Yin, Dan Yang, Jingjuan Bi, Wenlong He",0,https://www.semanticscholar.org/paper/c4c41fc7cc84157c7bb558b079cc122122cb99e2,5,yes,Supports strengthened coverage of plant–soil feedbacks in manuscript v3
R33,Mantel limitations,Mantel test limitations ecology distance matrices,Multiple regression and correlation extensions of the mantel test of matrix correspondence,1986,"P. Smouse, J. Long, R. Sokal",2210,https://www.semanticscholar.org/paper/1c4690af437016ba0ece6588517c33380bd3d16b,4,yes,Supports strengthened coverage of Mantel limitations in manuscript v3
R34,Mantel limitations,Mantel test limitations ecology distance matrices,Should the Mantel test be used in spatial analysis?,2015,"P. Legendre, M. Fortin, D. Borcard",342,https://www.semanticscholar.org/paper/9311b4a4bb57507cef2c7fb34b68a8c8a87f805d,4,yes,Supports strengthened coverage of Mantel limitations in manuscript v3
R35,protist–fungi interactions,protist fungi interactions soil,Soil protist communities form a dynamic hub in the soil microbiome,2017,"Wu Xiong, A. Jousset, Sai Guo, I. Karlsson, Qingyun Zhao",230,https://www.semanticscholar.org/paper/3a17ce6cee66ccb66e7eb24a1d7637b27a918843,4,yes,Supports strengthened coverage of protist–fungi interactions in manuscript v3
R36,bacteria–fungi interactions,bacteria fungi interactions soil microbiome,"Soil Microbiome: Diversity, Benefits and Interactions with Plants",2023,"Poonam Chauhan, Neha Sharma, A. Tapwal, Ajay Kumar, G. Verma",139,https://www.semanticscholar.org/paper/7a2c85f32608660fa11c19409496bc85c8c423dd,4,yes,Supports strengthened coverage of bacteria–fungi interactions in manuscript v3
R37,bacteria–fungi interactions,bacteria fungi interactions soil microbiome,Multitrophic interactions in the rhizosphere microbiome of wheat: from bacteria and fungi to protists.,2020,"Maike Rossmann, J. Pérez-Jaramillo, V. N. Kavamura, J. Chiaramonte, K. Dumack",92,https://www.semanticscholar.org/paper/42d03d0b39981b892d93906ab599f2fb05e02344,4,yes,Supports strengthened coverage of bacteria–fungi interactions in manuscript v3
R38,plant–soil feedbacks,plant soil feedback microbial community,Plant-soil feedback under drought: does history shape the future?,2023,"F. D. de Vries, J. Lau, C. Hawkes, M. Semchenko",73,https://www.semanticscholar.org/paper/325c87cdb6f04ffdb45d00a0c12f3701d96f0912,4,yes,Supports strengthened coverage of plant–soil feedbacks in manuscript v3
