record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base,rank_type,mean_delta_adjusted_r2,mean_adjusted_r2,mean_r2,min_permutation_p,max_permutation_p
,,AMF↔EUK,,,geography_sensitivity,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.010350044271678294,0.19711247660591297,0.26482588219336606,0.001,0.001
,,AMF↔EUK,,,geography_sensitivity,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.007973497166956056,0.19473592950119073,0.25294779001917694,0.001,0.001
,,AMF↔EUK,,,geography_sensitivity,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0005280895009512343,0.1872905218351859,0.2460406045940881,0.001,0.001
,,AMF↔EUK,,,geography_sensitivity,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.18676243233423467,0.23575264725385908,0.001,0.001
,,AMF↔EUK,,,geography_sensitivity,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.0019581085917702024,0.18480432374246447,0.24373413166469593,0.001,0.001
,,AMF↔EUK,,,primary,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.014972936101508405,0.19320165682234292,0.23208350468632638,0.001,0.001
,,AMF↔EUK,,,primary,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.011495225681222021,0.18972394640205653,0.23853575685976397,0.001,0.001
,,AMF↔EUK,,,primary,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008402063043462138,0.18663078376429665,0.2258293002093908,0.001,0.001
,,AMF↔EUK,,,primary,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.00791619035722435,0.18614491107805886,0.23517232607335647,0.001,0.001
,,AMF↔EUK,,,primary,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0017019776173034518,0.17993069833813796,0.21945211046642038,0.001,0.001
,,AMF↔EUK,,,primary,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.1782287207208345,0.20793129708032243,0.001,0.001
,,AMF↔EUK,,,primary,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.004027302186770054,0.17420141853406446,0.2139989405324228,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.020101286290152176,0.21974790963184881,0.27615167520063083,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.016553606686811273,0.2162002300285079,0.2823038250863446,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.014412347970682304,0.21405897131237894,0.28034315445470837,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.010750406089637066,0.2103970294313337,0.26747676224352646,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0025038901597232988,0.20215051350141994,0.25982637999529323,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.19964662334169664,0.24786068217653418,0.001,0.001
,,AMF↔ITS,,,geography_sensitivity,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.0007723227800509047,0.19887430056164573,0.25678700172586405,0.001,0.001
,,AMF↔ITS,,,primary,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.01774406537552331,0.2054195020746145,0.24371253811921145,0.001,0.001
,,AMF↔ITS,,,primary,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.015261351403266454,0.20293678810235766,0.2509526442407699,0.001,0.001
,,AMF↔ITS,,,primary,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.01222447972416274,0.19989991642325394,0.24809871663872057,0.001,0.001
,,AMF↔ITS,,,primary,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.01152562055385914,0.19920105725295034,0.23779377738533825,0.001,0.001
,,AMF↔ITS,,,primary,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.003929460245705563,0.19160489694479677,0.2305636970920355,0.001,0.001
,,AMF↔ITS,,,primary,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.1876754366990912,0.21703656549310002,0.001,0.001
,,AMF↔ITS,,,primary,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.0029240322410229447,0.18475140445806826,0.22404049339984816,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.009901010236862184,0.2750886853451336,0.32749191291054564,0.001,0.001
