record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,bio12now.100,0.2293134426598604,0.209997962290523,0.0193154803693373,0.169259944685304,0.1593568060270949,0.0099031386582091,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,lon,0.2293134426598604,0.2154215344469173,0.013891908212943,0.169259944685304,0.1651280430653096,0.0041319016199944,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,lat,0.2293134426598604,0.216810014661162,0.0125034279986984,0.169259944685304,0.1666055284214929,0.0026544162638111,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,dark,0.2293134426598604,0.220614073835953,0.0086993688239074,0.169259944685304,0.1706534375433859,-0.0013934928580818,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,N_pct,0.2293134426598604,0.2217556645487908,0.0075577781110696,0.169259944685304,0.1718682071480722,-0.0026082624627682,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,pH_KCl,0.2355409910284943,0.128106130355098,0.1074348606733963,0.1759727565631822,0.0722154976855529,0.1037572588776293,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,bio12now.100,0.2355409910284943,0.2169157723391825,0.0186252186893117,0.1759727565631822,0.1667180654378481,0.009254691125334,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,pool,0.2355409910284943,0.220614073835953,0.0149269171925413,0.1759727565631822,0.1706534375433859,0.0053193190197963,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,lon,0.2355409910284943,0.221725770690971,0.0138152203375233,0.1759727565631822,0.1718363970173152,0.0041363595458669,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,lat,0.2355409910284943,0.22249797623943,0.0130430147890643,0.1759727565631822,0.1726581029214446,0.0033146536417375,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20441705,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2355409910284943,0.1759727565631822,3.954137522166365,0.001,999,direct_aitchison,N_pct,0.2355409910284943,0.2279449607518293,0.007596030276665,0.1759727565631822,0.1784542531077159,-0.0024814965445336,0.1706534375433859,0.0053193190197963
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,pH_KCl,0.2272351007873743,0.1084258956058441,0.1188092051815301,0.1670196540954813,0.0512737094267315,0.1157459446687497,0.1706534375433859,-0.0036337834479045
