record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,A,abiotic_base,20380669,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.21086940947800237,0.18127701233342752,7.1257968203045845,0.001,999,,,,,,,,0.18127701233342752,0.0
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999,,,,,,,,0.18127701233342752,0.017159730491476566
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,C,abiotic_plus_dark,20380671,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.22324243767140417,0.18391294084463994,5.676208842811438,0.001,999,,,,,,,,0.18127701233342752,0.0026359285112124153
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,D,abiotic_plus_pool,20380672,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.23045559144735406,0.1914913175965871,5.914535770126211,0.001,999,,,,,,,,0.18127701233342752,0.010214305263159584
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,E,abiotic_plus_compl,20380673,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.21783034547871938,0.17822681866751522,5.5002764404581725,0.001,999,,,,,,,,0.18127701233342752,-0.003050193665912304
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,F,abiotic_plus_alpha_dark,20380674,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.2434926049734807,0.19499854118972948,5.021080643174868,0.001,999,,,,,,,,0.18127701233342752,0.013721528856301957
model_summary,6,AMF↔EUK,presence/absence,0.05,primary,G,abiotic_plus_pool_compl,20380675,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.24116083695198987,0.19251730085916874,4.957715995231286,0.001,999,,,,,,,,0.18127701233342752,0.011240288525741216
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,A,abiotic_base,20321636,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2393299860727146,0.19056908774404246,4.90823578473707,0.001,999,,,,,,,,0.19056908774404246,0.0
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20321637,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2660238084164581,0.20883085842293536,4.651339167617443,0.001,999,,,,,,,,0.19056908774404246,0.018261770678892897
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20321638,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2522875241356952,0.19402421432808703,4.330126883776021,0.001,999,,,,,,,,0.19056908774404246,0.0034551265840445655
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20321639,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.25880431989444685,0.20104881235375438,4.481032734620203,0.001,999,,,,,,,,0.19056908774404246,0.010479724609711916
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20321640,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.24783389285226232,0.18922354684075038,4.22850076339054,0.001,999,,,,,,,,0.19056908774404246,-0.0013455409032920862
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20321641,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.27394550499186365,0.20707206466216688,4.096476921798377,0.001,999,,,,,,,,0.19056908774404246,0.016502976918124412
model_summary,3,AMF↔ITS,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20321642,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2704714866083252,0.20327807090119732,4.025267710562797,0.001,999,,,,,,,,0.19056908774404246,0.012708983157154852
model_summary,3,AMF↔ITS,CLR,0.05,primary,A,abiotic_base,20320636,84,148,1286,3,"pH_KCl,N_pct,bio12now.100",0.21194112025172496,0.1823889122611646,7.171752456514385,0.001,999,,,,,,,,0.1823889122611646,0.0
model_summary,3,AMF↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20320637,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.23750113313054155,0.19889359556753095,6.151677836042274,0.001,999,,,,,,,,0.1823889122611646,0.01650468330636634
model_summary,3,AMF↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20320638,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.22650614295239735,0.1873418970259364,5.783493020080362,0.001,999,,,,,,,,0.1823889122611646,0.004952984764771795
model_summary,3,AMF↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20320639,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.2327134526865955,0.19386350092389149,5.990057699634019,0.001,999,,,,,,,,0.1823889122611646,0.011474588662726881
model_summary,3,AMF↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20320640,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.21890135625824936,0.17935205784094543,5.534898595381263,0.001,999,,,,,,,,0.1823889122611646,-0.0030368544202191705
model_summary,3,AMF↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20320641,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.24653296164013905,0.1982337925145069,5.104289910223431,0.001,999,,,,,,,,0.1823889122611646,0.015844880253342297
model_summary,3,AMF↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20320642,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.242274217357071,0.19370205180303712,4.987922910036902,0.001,999,,,,,,,,0.1823889122611646,0.011313139541872519
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,A,abiotic_base,20301625,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.25639137828035374,0.2087241589393508,5.378777739187482,0.001,999,,,,,,,,0.2087241589393508,0.0
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,B,abiotic_plus_alpha,20301626,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.28627954198480354,0.23066496084076227,5.1475626732374735,0.001,999,,,,,,,,0.2087241589393508,0.021940801901411455
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,C,abiotic_plus_dark,20301627,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.26736523585489125,0.21027681267475284,4.683352963020888,0.001,999,,,,,,,,0.2087241589393508,0.001552653735402032
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,D,abiotic_plus_pool,20301628,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.27614920459260606,0.21974524650891303,4.895918903117611,0.001,999,,,,,,,,0.2087241589393508,0.011021087569562216
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,E,abiotic_plus_compl,20301629,84,148,1286,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2657401105994658,0.2085250542825411,4.644583571280299,0.001,999,,,,,,,,0.2087241589393508,-0.00019910465680972322
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20301630,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.29066214518082556,0.22532839539484895,4.44888202702264,0.001,999,,,,,,,,0.2087241589393508,0.016604236455498134
model_summary,2,AMF↔ITS,presence/absence,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20301631,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2902148223010915,0.22483987172356057,4.4392358194888875,0.001,999,,,,,,,,0.2087241589393508,0.016115712784209757
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,A,abiotic_base,20300625,84,148,1286,3,"pH_KCl,N_pct,bio12now.100",0.22213201073447508,0.1929619611370178,7.61507141056897,0.001,999,,,,,,,,0.1929619611370178,0.0
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20300626,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.24992394310788135,0.21194540858169808,6.580663162123288,0.001,999,,,,,,,,0.1929619611370178,0.01898344744468028
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,C,abiotic_plus_dark,20300627,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.23462125123167366,0.19586789686365713,6.054217887918074,0.001,999,,,,,,,,0.1929619611370178,0.0029059357266393304
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,D,abiotic_plus_pool,20300628,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.242874102084081,0.2045386135820092,6.335489948718269,0.001,999,,,,,,,,0.1929619611370178,0.011576652444991398
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,E,abiotic_plus_compl,20300629,84,148,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.22917963054144697,0.19015075107519108,5.872052533293824,0.001,999,,,,,,,,0.1929619611370178,-0.002811210061826719
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,F,abiotic_plus_alpha_dark,20300630,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.25537232684140077,0.2076397836902084,5.350067479801191,0.001,999,,,,,,,,0.1929619611370178,0.014677822553190611
model_summary,2,AMF↔ITS,presence/absence,0.05,primary,G,abiotic_plus_pool_compl,20300631,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.25392321592037015,0.20609778104347076,5.309375995721896,0.001,999,,,,,,,,0.1929619611370178,0.013135819906452961
model_summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,A,abiotic_base,20281614,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.3166533320208177,0.2728490584324086,7.22882280838932,0.001,999,,,,,,,,0.2728490584324086,0.0
model_summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20281615,84,16561,1286,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.3332066113177461,0.2812486849269211,6.41300826386685,0.001,999,,,,,,,,0.2728490584324086,0.008399626494512535
model_summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20281616,84,16561,1286,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.3283238483642893,0.27598544693813,6.2730966062748275,0.001,999,,,,,,,,0.2728490584324086,0.003136388505721399
model_summary,1,BAC↔ITS,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20281617,84,16561,1286,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.3314306570605915,0.2793343446237544,6.361883241974697,0.001,999,,,,,,,,0.2728490584324086,0.006485286191345807
