record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,9,AMF↔EUK,CLR,0.05,geography_sensitivity,20350666,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2462437327319778,0.1768188133783441,3.54690700435203,0.001,999,direct_aitchison,,,,,,,
summary,9,AMF↔EUK,CLR,0.05,primary,20350665,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2181149594018199,0.167994123466039,4.351782154656957,0.001,999,direct_aitchison,,,,,,,
summary,8,AMF↔EUK,presence/absence,0.05,geography_sensitivity,20340659,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2725761732768077,0.2055766102891452,4.068327629644404,0.001,999,direct_aitchison,,,,,,,
summary,8,AMF↔EUK,presence/absence,0.05,primary,20340658,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2407309365818994,0.1920598427730468,4.946076156153981,0.001,999,direct_aitchison,,,,,,,
summary,7,AMF↔ITS,CLR,0.05,geography_sensitivity,20330652,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2572842278165421,0.1888761961680657,3.761023692928789,0.001,999,direct_aitchison,,,,,,,
summary,7,AMF↔ITS,CLR,0.05,primary,20330651,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2273874653848125,0.177861020858198,4.591233381645615,0.001,999,direct_aitchison,,,,,,,
summary,6,AMF↔ITS,presence/absence,0.05,geography_sensitivity,20320645,84,148,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2899440061392974,0.2245441119679169,4.433401763304063,0.001,999,direct_aitchison,,,,,,,
summary,6,AMF↔ITS,presence/absence,0.05,primary,20320644,84,148,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2537067002700425,0.2058673861847888,5.3033097384698245,0.001,999,direct_aitchison,,,,,,,
summary,1,BAC↔AMF,CLR,0.05,geography_sensitivity,20270610,84,16561,148,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3244317598406847,0.2622083692996951,5.213983953943587,0.001,999,direct_aitchison,,,,,,,
summary,1,BAC↔AMF,CLR,0.05,primary,20270609,84,16561,148,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2985587934328861,0.2535946135247378,6.639925248114709,0.001,999,direct_aitchison,,,,,,,
summary,0,BAC↔AMF,presence/absence,0.05,geography_sensitivity,20260603,84,16561,148,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3151227082809658,0.2520419050963178,4.995540519015743,0.001,999,direct_aitchison,,,,,,,
summary,0,BAC↔AMF,presence/absence,0.05,primary,20260602,84,16561,148,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2831548116773045,0.2372031970412342,6.162020941371646,0.001,999,direct_aitchison,,,,,,,
summary,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.308319503766139,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,,,,,,,
summary,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2816951838051461,0.2356500032798349,6.117799530621834,0.001,999,direct_aitchison,,,,,,,
summary,4,BAC↔EUK,presence/absence,0.05,geography_sensitivity,20300631,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3186464489612011,0.2558902008392064,5.077525481475091,0.001,999,direct_aitchison,,,,,,,
summary,4,BAC↔EUK,presence/absence,0.05,primary,20300630,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.286850833927737,0.2411361437948996,6.274806481115988,0.001,999,direct_aitchison,,,,,,,
summary,3,BAC↔ITS,CLR,0.05,geography_sensitivity,20290624,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.322010229309539,0.2595638030617334,5.156583789626465,0.001,999,direct_aitchison,,,,,,,
summary,3,BAC↔ITS,CLR,0.05,primary,20290623,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2940781383319315,0.2488267369429527,6.498763116838101,0.001,999,direct_aitchison,,,,,,,
summary,2,BAC↔ITS,presence/absence,0.05,geography_sensitivity,20280617,84,16561,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.3266587616197459,0.2646404896636699,5.267137430902614,0.001,999,direct_aitchison,,,,,,,
summary,2,BAC↔ITS,presence/absence,0.05,primary,20280616,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2894231314603896,0.24387333219503,6.353993565905664,0.001,999,direct_aitchison,,,,,,,
summary,11,EUK↔ITS,CLR,0.05,geography_sensitivity,20370680,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2470128554521999,0.1776587763491131,3.5616197150429154,0.001,999,direct_aitchison,,,,,,,
summary,11,EUK↔ITS,CLR,0.05,primary,20370679,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2176462953348314,0.1674954168306539,4.3398301650229705,0.001,999,direct_aitchison,,,,,,,
summary,10,EUK↔ITS,presence/absence,0.05,geography_sensitivity,20360673,84,4126,1286,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.2876421265241181,0.2220302171250237,4.383992618999873,0.001,999,direct_aitchison,,,,,,,
summary,10,EUK↔ITS,presence/absence,0.05,primary,20360672,84,4126,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.2483212966154268,0.2001367643471849,5.153547931793328,0.001,999,direct_aitchison,,,,,,,
