record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,pH_KCl,0.25660684691148317,0.14670910660515768,0.10989774030632549,0.1881364249164882,0.08021890711984525,0.10791751779664294
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,alpha,0.25660684691148317,0.237524656169945,0.019082190741538163,0.1881364249164882,0.1781109930143564,0.010025431902131787
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,bio12now.100,0.25660684691148317,0.23942972941967233,0.017177117491810834,0.1881364249164882,0.18016451353029617,0.007971911386192021
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,lat,0.25660684691148317,0.2407932025957129,0.01581364431577026,0.1881364249164882,0.18163423136940482,0.006502193547083368
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,lon,0.25660684691148317,0.24511818836886468,0.01148865854261849,0.1881364249164882,0.18629622902098408,0.0018401958955041042
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,N_pct,0.25660684691148317,0.24820262915649027,0.008404217754992893,0.1881364249164882,0.18962101584400903,-0.0014845909275208458
predictor_ranking,7,AMF↔EUK,CLR,0.05,geography_sensitivity,20330652,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.25660684691148317,0.1881364249164882,3.7477035986464418,0.001,999,compl,0.25660684691148317,0.2548650480563823,0.00174179885510084,0.1881364249164882,0.1968025842685679,-0.008666159352079705
predictor_ranking,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.22956842061946314,0.18018178091558257,4.648391184254327,0.001,999,pH_KCl,0.22956842061946314,0.11992254214063858,0.10964587847882457,0.18018178091558257,0.07536165819839236,0.10482012271719021
predictor_ranking,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.22956842061946314,0.18018178091558257,4.648391184254327,0.001,999,alpha,0.22956842061946314,0.21016753558612622,0.019400885033336923,0.18018178091558257,0.1701760184006137,0.010005762514968874
predictor_ranking,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.22956842061946314,0.18018178091558257,4.648391184254327,0.001,999,bio12now.100,0.22956842061946314,0.21275353086713622,0.016814889752326923,0.18018178091558257,0.17289295015154826,0.007288830764034304
predictor_ranking,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.22956842061946314,0.18018178091558257,4.648391184254327,0.001,999,N_pct,0.22956842061946314,0.22122363754914176,0.008344783070321382,0.18018178091558257,0.18179192299466795,-0.001610142079085386
predictor_ranking,7,AMF↔EUK,CLR,0.05,primary,20330651,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.22956842061946314,0.18018178091558257,4.648391184254327,0.001,999,compl,0.22956842061946314,0.22710071198509352,0.0024677086343696253,0.18018178091558257,0.18796657081978174,-0.007784789904199174
