threshold,kingdom,features_before,features_after,n_samples
0.05,AMF,386,148,84
0.05,BAC,291699,16561,84
0.05,EUK,58205,4126,84
0.05,ITS,26285,1286,84
0.1,AMF,386,106,84
0.1,BAC,291699,7786,84
0.1,EUK,58205,1651,84
0.1,ITS,26285,518,84
